day,0.00,1.12,3.88,5.04,5.82,6.96,7.88,10.88,12.09,12.83,13.86,14.87,17.80,18.84,19.81,20.84,21.83,24.83,25.86,26.81,27.87,29.10,31.83,32.85,33.81,34.83,35.87,39.22,39.84,40.83,41.86,42.87,45.93
VALUE,0.765,0.527,1.395,2.117,2.444,3.579,3.495,4.133,4.291,3.927,2.201,1.05,0.196,0.114,0.124,0.087,0.102,0.028,0.032,0.061,0.071,0.057,0.047,0.066,0.014,0.047,0.042,0.018,0.059,0.028,0.037,0.05,0.023
EXP,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2,9312_lowN_2
METHOD,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
