day,0,1.671527778,3.677777778,8.73125,10.69722222,11.59861111,12.57916667,13.64375,15.67083333,20.58055556,24.67222222,29.62916667,,,,,,,,,
VALUE,941045.6062,1850945.495,3655172.414,73390433.82,96480533.93,74240266.96,78540600.67,56814238.04,41319243.6,34709677.42,17592880.98,16945494.99,,,,,,,,,
EXP,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,MED4_1A3_3,,,,,,,,,
METHOD,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,,,,,,,,,
PRO,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,,,,,,,,,
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,,,,,,,,,
