day,6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,,,,,
VALUE,52237467.02,116437994.7,230656992.1,215506596.3,197134564.6,149480211.1,139435356.2,128625329.8,120485488.1,101498680.7,78910290.24,60460071.07,36386758.93,23816470.29,3997257.029,2867651.643,,,,,
EXP,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,9312_pro99_2,,,,,
METHOD,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,,,,,
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,,,,,
ALT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
