day,7,10,14,15,16,18,21,24,28,29,31,35,36,38,39,42,50,,,,
VALUE,3451965.066,7006000,2.90E+07,3.39E+07,5.79E+07,6.41E+07,116785276.1,169781970.6,188399277.3,176193308.6,208320000,109724832.2,101051724.1,72652037.62,113368320.6,8007000,728000,,,,
EXP,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,9313_LD_2,,,,
METHOD,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,FCM,,,,
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,,,,
ALT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
