Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,27,0,0,4,5,0,28,0,10,0,25,13,0,67,20,2,0,0,30,26,70,8,0,0,0,0,13,0,0,16,23,0,0,0,44,0,79,41,25,0
P,61,6,0,0,12,0,17,0,50,12,36,0,0,0,48,0,0,0,0,59,32,40,0,0,20,4,93,32,0,0,0,10,2,0,65,0,53,0,31,7
TMM,42,0,0,0,0,16,3,0,45,0,0,0,0,48,56,0,17,0,33,19,0,25,46,28,5,34,148,35,177,270,165,109,83,0,35,0,62,15,0,0
N+P+TMM,55,0,0,3,30,17,20,0,1,34,31,0,0,38,86,0,47,19,111,201,342,376,385,385,299,301,233,205,155,175,75,129,62,0,102,3,73,30,11,0
Control ,11,0,0,0,21,0,0,24,36,0,8,0,6,10,44,0,11,0,0,3,0,54,13,41,104,173,100,118,218,306,131,48,32,0,72,0,77,30,12,0
Transfer to Pro99 1:15,36,0,0,0,26,9,37,2,36,27,6,35,0,39,71,0,9,0,0,7,27,34,24,17,0,0,0,0,0,27,0,33,0,0,21,0,59,0,0,0
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC
