Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,12,17,0,25,0,0,52,36,22,19,16,0,0,52,0,40,0,30,0,10,12,0,0,18,31,43,18,12,0,19,0,0,0,0,0,0,0,0,37,0
P,33,6,0,75,0,6,34,19,25,0,9,30,0,16,17,13,0,40,0,29,34,0,15,21,34,27,31,45,0,0,0,0,0,0,0,0,0,0,2,0
TMM,19,0,0,52,26,43,21,12,5,24,30,42,0,17,0,37,0,5,0,37,36,0,18,42,43,20,34,25,0,0,0,6,0,0,6,0,0,0,19,0
N+P+TMM,25,0,31,55,0,0,31,19,9,10,14,0,27,11,0,22,0,12,0,43,8,12,0,55,5,37,62,0,10,0,0,0,0,0,0,0,0,0,3,0
Control ,17,20,8,60,2,11,28,32,0,20,4,3,26,32,2,0,0,14,0,3,22,0,0,54,55,24,24,46,0,0,0,0,0,0,8,13,7,0,26,4
Transfer to Pro99 1:15,0,0,0,33,15,32,17,42,10,12,3,0,13,32,0,44,0,38,0,0,0,0,0,30,49,45,0,0,0,0,0,0,0,0,0,0,0,0,31,0
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1
