Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,30,0,0,0,7,6,30,4,24,11,26,15,0,40,52,0,23,0,51,22,55,0,7,22,0,0,30,6,0,2,0,34,34,0,39,0,54,17,16,0
P,24,0,0,0,3,0,2,0,4,22,6,0,0,43,4,0,0,0,31,19,29,0,24,12,0,0,0,19,0,0,0,18,40,0,32,0,51,19,0,0
TMM,22,0,0,0,40,5,0,0,16,12,14,25,0,5,48,0,0,0,51,31,7,15,32,0,0,0,36,6,0,0,20,52,12,0,15,0,65,15,0,0
N+P+TMM,12,0,0,0,20,0,0,3,44,12,0,18,0,41,58,0,0,0,19,30,33,10,33,13,8,0,26,19,0,0,0,42,46,2,33,0,61,28,25,0
Control ,5,2,0,0,6,8,0,0,15,0,0,5,3,24,38,0,0,0,39,5,27,0,0,0,26,0,2,19,0,0,0,42,17,0,30,0,53,0,6,0
Transfer to Pro99 1:15,0,12,0,0,0,34,0,0,7,0,26,0,14,39,55,0,12,0,0,25,6,26,5,0,20,0,0,0,0,11,0,25,43,0,35,0,71,32,5,0
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC
