Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,37,0,36,38,0,0,5,101,32,31,20,0,3,0,0,41,0,0,0,0,0,15,0,4,24,0,5,25,38,6,0,0,0,0,9,25,1,0,0,15,0,4,0
P,0,23,0,42,5,10,0,28,110,39,50,78,92,40,8,158,75,15,25,0,28,0,0,0,38,42,0,0,13,0,13,0,0,7,0,24,7,4,13,0,56,18,54,0
TMM,0,41,14,61,32,0,4,69,113,48,161,376,424,516,86,906,557,297,520,101,0,0,16,0,17,50,0,6,9,38,6,40,0,0,4,25,0,8,0,7,6,1,0,0
N+P+TMM,26,63,1,18,7,0,9,36,136,35,133,274,240,274,84,760,278,100,531,17,0,0,24,0,42,24,0,1,0,3,28,11,0,5,30,6,0,5,0,0,68,0,29,0
Control ,0,33,0,38,37,0,30,0,48,39,27,8,0,0,19,0,19,0,0,0,0,0,0,0,4,8,0,26,39,20,3,0,0,0,0,42,0,18,0,0,15,29,38,0
Transfer to Pro99 1:15,0,47,0,17,34,0,0,10,35,0,18,22,0,0,0,6,66,2,0,0,0,0,0,0,70,12,18,15,15,0,28,0,0,9,0,18,0,0,21,0,38,0,15,0
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
