Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,16,29,0,50,27,6,78,117,34,79,315,276,814,1201,468,248,764,98,109,72,19,57,0,66,11,16,53,12,32,0,0,0,47,0,25,5,21,38,57,4,0,10
P,29,36,1,18,46,93,292,542,792,1033,854,2041,2941,3096,408,2771,2121,847,623,546,225,245,172,252,207,159,250,43,58,22,0,5,26,8,20,14,11,0,10,0,0,31
TMM,42,16,10,47,2,15,199,468,566,747,902,2217,2294,2502,1046,2004,1909,758,542,903,665,738,811,1154,1084,805,1132,777,822,1293,1062,808,368,79,37,0,15,3,20,0,0,14
N+P+TMM,31,9,67,43,45,97,221,325,321,446,455,963,1768,2688,1469,2731,2565,1441,1041,1006,555,648,731,1205,1003,830,717,463,542,524,312,268,127,24,44,14,10,6,3,0,0,37
Control ,23,10,5,43,25,57,250,504,582,701,714,2542,2410,3171,1199,2841,2636,978,661,367,294,354,403,865,942,1093,983,545,670,469,234,60,21,0,34,52,11,0,28,0,0,33
Transfer to Pro99 1:15,32,0,0,0,0,16,30,48,0,0,0,9,37,0,22,1,0,0,47,53,10,27,14,75,0,0,26,15,17,9,7,20,0,6,0,0,0,0,27,0,0,2
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
