Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,0,0,0,0,0,0,21,40,0,0,0,0,8,56,37,0,0,10,62,2,0,50,25,43,19,18,12,5,39,33,0,11,39,4,16,16,0,31,3,0,0,38
P,26,13,0,0,5,0,9,24,0,0,0,27,51,71,131,68,12,21,72,33,23,59,54,0,0,26,19,24,56,0,0,0,27,0,0,8,0,12,34,0,0,22
TMM,30,45,0,17,1,17,32,51,0,0,0,0,25,81,32,39,31,0,55,4,0,55,12,67,17,33,19,0,46,6,0,0,8,4,33,6,37,0,32,0,0,22
N+P+TMM,12,7,13,0,0,0,12,78,0,0,0,0,11,0,26,0,0,0,13,26,25,43,25,58,13,0,47,5,6,39,0,0,0,0,12,0,0,13,0,0,0,18
Control ,0,37,0,0,16,0,22,61,0,0,0,22,56,26,69,20,29,0,27,33,0,86,47,38,32,22,17,12,19,24,0,39,12,0,7,13,1,0,0,0,0,8
Transfer to Pro99 1:15,0,17,0,13,0,6,16,33,0,7,1,0,37,41,41,0,0,0,62,4,24,15,38,14,0,29,31,1,52,21,0,46,29,0,12,9,0,21,24,0,0,25
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
