Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,17,9,0,19,6,17,0,62,0,0,0,0,28,0,41,0,0,8,21,0,0,43,36,50,0,5,5,22,21,0,0,0,30,0,39,1,0,4,15,0,0,15
P,22,24,0,12,0,11,12,14,0,0,2,1,38,0,22,0,5,0,68,186,246,165,401,366,605,219,615,322,377,115,0,2,13,0,19,0,15,0,0,0,0,34
TMM,25,27,0,1,4,9,28,49,0,7,0,0,43,16,44,0,0,35,67,257,385,349,722,750,467,430,360,237,377,216,130,88,172,104,178,141,130,0,39,0,6,25
N+P+TMM,30,0,10,24,4,47,9,34,0,0,0,0,25,29,65,29,22,23,67,286,352,434,639,438,296,284,269,222,201,179,119,62,81,7,68,36,5,20,22,10,0,31
Control ,41,2,0,6,0,26,21,4,0,0,0,0,21,48,53,69,63,156,251,878,532,748,1000,863,685,578,485,184,219,225,127,155,149,114,119,102,60,9,32,0,15,42
Transfer to Pro99 1:15,0,0,0,12,0,0,6,30,0,0,0,0,20,40,40,0,0,0,19,21,11,12,65,59,36,17,0,23,81,9,0,2,0,0,25,1,0,0,48,0,0,67
PRO,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
