Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,0,7,2,19,0,7,16,55,0,0,11,18,42,42,76,39,23,34,50,11,0,34,27,75,0,15,66,0,30,47,0,3,20,0,0,14,0,0,47,0,0,51
P,42,22,18,26,0,1,59,124,112,142,367,347,589,671,576,549,378,857,292,422,268,160,139,106,52,29,70,0,21,12,0,4,0,0,14,8,30,7,20,0,0,28
TMM,11,18,0,35,28,0,38,129,71,129,404,466,875,1199,535,1668,581,1346,528,1410,1227,694,1048,1213,1124,555,812,303,176,70,3,31,37,14,0,44,0,0,0,0,0,3
N+P+TMM,12,33,0,6,24,0,43,19,0,0,0,0,16,39,39,38,28,216,210,396,553,239,465,598,549,699,804,549,256,71,16,19,24,1,38,0,16,41,4,0,0,6
Control ,21,40,3,4,8,24,74,186,163,210,412,432,627,1050,436,1637,425,1374,423,571,403,328,357,414,384,390,456,264,169,75,22,22,6,8,19,6,0,54,6,0,0,10
Transfer to Pro99 1:15,18,28,0,9,0,0,39,20,0,0,0,0,0,18,40,2,0,0,16,18,7,43,46,49,24,20,41,8,37,8,0,1,12,0,19,23,5,14,63,0,0,0
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
