Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,1,34,0,0,0,23,45,35,19,6,0,0,0,29,11,28,6,0,0,9,51,18,23,0,0,0,73,0,0,0,77,2,0,0,20,1,48,24,0,0,0,10,22
P,1,0,10,0,0,55,38,45,27,0,17,0,0,47,0,19,17,0,0,53,18,0,18,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,17,25,0,0,26
TMM,34,22,2,0,3,33,41,29,19,28,0,0,0,13,10,5,44,2,5,51,0,32,0,0,0,3,54,1,37,0,0,34,0,0,0,0,5,31,0,18,2,8,0
N+P+TMM,17,42,10,19,0,32,14,59,25,14,0,0,0,26,24,19,19,0,0,32,46,10,6,14,0,0,35,1,0,15,2,0,0,0,39,31,24,9,0,19,0,15,4
Control ,6,19,0,23,0,53,46,37,16,41,0,0,0,29,25,0,56,0,0,0,73,11,0,8,0,0,73,0,6,20,9,2,0,0,31,0,9,13,0,41,0,0,18
Transfer to Pro99 1:15,10,16,0,15,0,60,29,64,50,27,0,0,0,14,0,0,25,10,0,5,30,0,17,0,0,0,51,0,0,26,9,18,0,0,15,0,26,4,12,8,13,0,21
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
