Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,2,37,6,0,11,0,18,0,14,0,3,14,36,0,35,0,24,2,5,24,34,9,0,51,0,0,7,0,0,0,0,5,17,0,6,0,10,0,38,44
P,34,49,34,24,34,0,0,0,15,3,20,20,53,22,72,27,113,90,180,282,389,588,638,869,935,660,645,457,529,760,380,444,394,158,185,42,63,19,45,29
TMM,3,54,6,18,22,0,42,14,54,0,0,31,35,47,89,167,214,264,681,838,1458,1381,1605,1148,825,776,779,490,572,989,793,736,405,122,118,37,27,9,36,74
N+P+TMM,8,36,17,33,16,0,14,2,12,9,0,10,41,27,18,16,46,18,31,60,275,475,485,586,706,830,524,641,499,628,183,208,45,16,18,0,38,17,26,39
Control ,26,0,0,1,47,31,36,0,22,7,33,44,89,58,139,143,195,205,482,733,1568,1423,1528,1032,721,913,793,660,493,727,419,304,74,0,15,0,0,15,33,49
Transfer to Pro99 1:15,27,66,26,2,46,0,0,0,0,0,0,0,14,11,14,15,10,7,0,0,59,15,0,46,0,0,42,5,19,40,33,18,13,0,18,0,0,0,6,43
PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO,ALL_PRO
ALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
