Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,24,0,0,11,0,36,54,25,45,20,0,0,0,25,17,1,0,0,0,24,78,36,0,4,0,0,27,0,22,0,0,0,0,0,15,0,29,34,0,7,20,0,0
P,48,48,17,27,0,30,54,53,22,0,0,0,0,16,45,10,0,2,0,43,80,0,0,0,0,1,59,6,0,0,0,11,0,0,51,3,36,13,0,8,19,19,17
TMM,0,38,0,17,0,57,60,53,31,0,0,0,0,7,0,2,32,0,0,22,55,0,0,0,21,0,38,5,8,38,11,0,44,0,46,13,6,8,0,71,21,0,16
N+P+TMM,3,46,0,43,0,55,0,47,25,26,0,0,0,69,10,0,0,0,0,50,73,7,0,0,0,5,32,0,0,7,40,20,0,0,49,0,5,25,0,27,22,42,19
Control ,37,34,13,0,0,42,18,69,0,21,14,0,0,0,1,0,0,0,0,12,28,24,22,0,0,0,23,0,0,15,42,0,14,0,53,0,0,0,0,11,0,19,4
Transfer to Pro99 1:15,44,35,3,0,0,26,41,46,6,18,15,0,0,52,0,12,5,20,0,38,30,0,0,0,0,0,36,13,13,27,0,0,0,0,7,31,40,0,0,0,12,8,30
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
