Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,13,30,0,19,0,52,0,54,6,13,0,0,0,45,18,24,6,0,0,46,45,0,0,28,0,19,54,0,3,0,29,20,3,0,47,0,64,0,0,26,0,8,0
P,0,39,0,4,7,51,8,39,23,33,0,0,0,43,15,35,0,0,0,25,79,0,3,0,0,0,35,0,0,7,6,0,0,0,27,0,11,35,0,21,0,17,0
TMM,21,37,26,15,0,6,13,19,22,20,0,0,0,31,27,38,25,35,23,79,134,71,71,7,0,0,17,0,1,13,23,10,7,0,0,9,58,6,0,12,0,21,16
N+P+TMM,4,7,0,9,0,12,35,65,14,0,0,0,0,56,0,0,52,25,0,53,39,26,36,0,0,0,23,0,0,8,0,0,0,0,6,3,18,13,0,21,19,0,39
Control ,19,14,0,0,0,32,10,43,8,0,0,0,0,35,0,26,14,0,0,37,59,30,22,0,0,0,49,0,0,4,26,0,0,0,68,29,29,0,5,20,0,0,10
Transfer to Pro99 1:15,26,47,0,0,0,42,31,48,33,40,0,6,0,47,0,0,26,0,0,19,59,9,7,0,0,0,41,5,32,25,0,0,10,0,30,0,14,18,0,0,0,10,0
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
