Day,0,1,5,6,7,8,11,13,14,15,18,20,22,25,27,28,29,33,35,43,46,47,49,54,55,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,16,0,46,15,11,0,34,26,2,24,1,36,31,0,18,0,29,35,51,0,3,22,0,0,0,27,39,15,0,0,0,0,15,40,0,19,0,13,0,30
P,22,0,5,5,25,17,0,9,11,0,0,14,0,2,22,0,71,0,45,13,8,20,0,0,5,16,20,18,45,45,0,7,4,41,0,0,0,48,0,0
TMM,16,0,0,12,29,15,56,9,2,6,0,5,0,0,33,2,44,0,26,0,15,9,0,0,15,0,0,0,12,12,0,4,14,16,0,17,0,41,0,25
N+P+TMM,38,0,0,23,17,25,24,33,5,10,0,3,0,6,37,0,76,58,66,101,160,181,162,373,325,281,372,348,330,330,36,90,50,29,21,17,3,33,24,17
Control ,33,10,0,0,49,4,0,3,22,0,26,19,28,85,37,34,69,62,114,167,129,87,27,5,62,26,0,0,0,0,0,24,0,34,0,10,0,17,0,58
Transfer to Pro99 1:15,13,0,0,0,18,3,11,27,0,0,5,44,10,13,18,0,60,0,77,18,0,29,0,0,0,0,42,0,17,17,0,7,0,12,27,15,0,18,14,21
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
