Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,0,30,0,48,16,31,38,0,0,0,39,29,1,13,0,48,0,0,10,20,57,0,0,0,0,0,0,0,1,31,0,28,11,0,43,0,42,0,13,10,25,0,34
P,0,46,0,0,15,46,15,36,33,0,32,80,43,15,50,65,100,71,100,125,139,110,123,0,75,0,50,33,30,85,68,28,24,6,0,68,0,6,0,49,6,66,6,60
TMM,0,40,16,0,16,0,17,53,0,0,18,63,44,26,95,138,188,202,283,172,80,185,164,67,68,94,30,11,65,135,74,103,55,0,0,60,14,40,6,15,25,38,0,20
N+P+TMM,0,27,71,0,30,12,8,17,23,0,17,59,38,0,37,0,93,0,149,239,147,133,114,61,149,72,88,70,165,129,123,79,94,49,9,130,49,93,70,26,60,56,0,11
Control ,0,63,40,2,14,27,0,8,0,0,10,86,47,44,50,102,218,182,511,568,326,289,225,204,282,176,172,153,318,243,260,194,177,139,0,181,115,188,104,109,70,74,55,68
Transfer to Pro99 1:15,0,16,56,55,44,6,4,11,0,0,12,44,29,0,0,6,31,0,7,0,45,11,9,0,0,0,0,14,0,16,60,0,16,19,0,68,0,0,0,53,0,18,0,51
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1
