Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,35,42,37,47,0,16,10,70,78,54,151,214,304,303,407,236,245,176,188,278,439,211,269,223,322,201,195,37,47,38,0,78,20,34,0,23,0,33,0,36,19,37
P,28,13,0,36,19,29,36,67,44,32,127,127,253,338,661,463,581,939,623,1407,1595,1278,1640,1404,1537,1596,1769,1250,1059,1395,925,1112,665,331,122,95,33,31,32,25,12,12
TMM,0,10,45,52,8,23,43,35,56,37,125,116,259,364,601,619,691,899,402,714,834,577,852,850,938,876,997,558,562,782,478,598,527,505,657,794,514,414,201,53,24,19
N+P+TMM,15,0,30,50,0,60,12,62,58,103,233,400,513,759,1521,1720,1636,1958,1013,1239,1429,1281,1304,1333,1426,1267,1357,1078,946,805,775,768,745,845,840,990,844,505,112,62,41,28
Control ,13,48,45,36,17,23,41,82,42,25,157,241,399,524,775,897,926,1288,710,1735,2062,1639,2138,2052,2136,1831,2051,1722,1339,1599,1204,1068,746,416,183,186,145,109,290,393,567,559
Transfer to Pro99 1:15,6,3,22,28,0,27,41,43,6,0,45,0,51,37,0,27,18,3,9,8,0,0,0,29,26,23,20,22,26,44,0,83,28,44,0,0,35,16,0,2,8,37
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
