Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,47,0,55,4,0,0,15,102,18,0,32,0,0,36,58,31,0,5,0,0,0,9,5,81,0,16,0,8,0,3,26,0,0,0,8,0,0,0,0,16,43,57,0
P,0,51,0,56,14,0,4,0,71,0,7,4,0,0,1,0,7,0,0,0,0,0,33,0,34,0,0,2,44,19,27,18,0,0,13,7,0,0,17,0,44,27,43,0
TMM,0,12,0,60,16,12,0,0,25,4,11,13,0,0,30,12,53,20,131,182,826,599,424,127,78,0,0,45,4,2,0,3,0,12,0,0,0,5,0,0,11,0,48,0
N+P+TMM,0,43,0,18,0,22,0,0,66,0,33,12,0,0,26,12,37,0,0,0,0,0,0,0,84,0,0,35,1,6,18,10,0,8,0,16,0,0,0,49,56,0,30,0
Control ,0,54,0,53,25,0,0,25,36,0,28,0,0,0,0,0,22,0,10,0,0,0,0,0,36,8,20,0,7,0,4,1,0,0,0,47,0,0,13,0,43,24,3,0
Transfer to Pro99 1:15,0,13,0,12,21,0,0,27,58,8,7,24,0,0,18,0,35,0,0,0,0,0,15,0,16,9,0,2,0,16,0,37,0,0,5,31,0,48,0,0,59,8,2,0
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
