Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,9,59,11,0,2,0,15,0,35,0,0,4,14,0,5,0,0,21,0,13,9,12,2,32,0,8,21,0,34,41,0,41,0,0,29,0,0,0,74,35
P,23,85,31,0,0,3,16,0,25,0,0,12,52,14,13,19,0,0,0,40,39,0,0,42,0,0,45,0,5,48,27,52,2,0,5,0,7,14,10,67
TMM,0,51,0,0,8,0,24,0,0,0,0,0,43,23,14,10,40,0,0,15,42,0,0,53,0,20,7,0,8,0,34,19,0,5,32,0,0,0,48,4
N+P+TMM,0,45,18,0,5,0,16,0,19,0,2,0,26,0,57,20,0,17,0,0,72,0,0,46,0,0,29,6,21,40,23,30,0,61,1,0,11,0,36,11
Control ,29,40,2,0,16,13,29,11,0,0,0,11,38,0,24,0,11,0,18,0,67,36,0,65,0,15,26,0,0,7,3,13,0,0,0,0,19,9,12,38
Transfer to Pro99 1:15,28,58,18,0,31,31,25,0,0,2,0,17,40,0,53,2,7,4,21,17,48,36,0,70,0,0,0,5,0,0,0,47,9,20,16,0,32,33,27,27
PRO,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
ALT,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
