Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,73,0,23,6,26,15,0,95,11,29,25,0,0,24,33,23,24,0,0,11,0,11,15,0,26,0,19,19,39,0,45,0,0,6,34,0,8,16,0,36,11,24,0
P,0,0,0,27,22,18,0,0,79,45,83,285,328,214,99,225,149,177,296,144,308,121,159,230,144,113,95,75,129,145,81,63,0,0,0,28,0,16,0,0,27,9,0,0
TMM,0,66,0,18,26,15,22,54,153,118,382,868,535,355,234,211,149,157,214,181,227,157,168,178,153,45,112,173,127,88,102,99,18,24,19,58,10,42,0,0,7,8,36,0
N+P+TMM,5,32,0,63,34,0,23,35,150,97,198,395,496,557,329,311,221,240,240,195,296,186,219,172,208,210,169,158,157,152,45,35,0,36,87,150,0,47,23,0,56,20,54,0
Control ,0,21,0,42,47,9,48,71,161,139,257,669,424,368,175,311,263,299,344,167,456,222,253,248,154,138,119,140,157,168,67,72,0,0,0,36,0,13,0,0,14,29,32,0
Transfer to Pro99 1:15,0,80,1,44,24,0,1,2,108,0,0,32,0,0,39,22,9,0,0,0,0,0,14,0,14,0,0,21,4,0,43,32,0,0,0,1,0,27,0,0,0,49,36,0
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
