Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,25,32,34,27,14,15,21,21,33,15,30,4,5,34,36,0,0,25,11,0,0,0,0,73,13,25,28,31,17,18,0,28,26,4,0,0,10,0,46,4,23,0
P,0,24,28,20,34,0,2,45,44,26,39,33,48,40,8,0,18,57,14,3,21,0,0,16,36,26,63,0,43,0,33,50,41,0,0,1,3,30,39,46,0,23
TMM,18,28,1,6,0,0,12,0,39,15,8,0,39,16,17,13,0,17,53,144,204,110,336,384,476,478,630,351,286,572,619,227,242,414,323,647,390,281,248,132,195,80
N+P+TMM,30,0,1,25,0,26,0,62,72,0,26,0,65,42,25,33,47,77,117,198,362,439,537,633,666,536,665,546,438,413,366,403,276,311,196,368,225,193,198,125,149,142
Control ,34,7,16,13,13,32,0,62,2,43,49,0,50,48,9,7,14,105,114,230,279,365,376,389,407,594,596,850,852,1097,1204,870,706,607,462,571,406,276,84,52,49,45
Transfer to Pro99 1:15,0,0,0,55,0,6,0,48,29,53,1,0,52,30,29,0,26,24,0,0,13,0,9,10,0,22,46,0,2,0,0,70,32,16,0,0,0,0,15,49,16,0
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
