Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,40,0,0,0,13,36,32,0,15,0,26,0,0,46,31,0,0,0,0,39,31,11,25,24,0,0,62,0,0,3,3,33,3,0,35,0,59,18,11,0
P,26,0,0,0,24,32,5,0,27,1,3,0,0,25,63,0,0,0,19,35,32,0,25,0,16,0,13,0,0,3,4,29,0,0,48,0,101,27,0,0
TMM,12,0,0,0,0,13,35,0,20,0,18,0,0,16,53,0,5,0,30,0,6,15,0,25,38,0,6,0,0,13,3,26,38,0,17,0,65,17,25,0
N+P+TMM,12,1,0,0,0,0,0,0,21,19,15,0,0,10,50,0,0,0,0,35,41,0,39,40,0,20,17,0,0,14,5,16,42,17,25,20,55,15,26,0
Control ,0,0,0,0,0,33,0,0,2,3,6,0,0,4,27,0,26,0,13,75,27,6,38,0,0,2,36,12,0,0,0,28,0,0,36,0,49,74,3,0
Transfer to Pro99 1:15,17,0,0,0,0,0,31,0,23,12,30,12,0,12,32,0,0,0,3,14,0,1,20,0,0,0,23,0,0,0,0,6,6,0,12,0,29,3,6,0
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC
