Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,2,13,14,12,26,17,5,38,47,26,42,0,37,30,13,1,15,64,0,0,0,0,11,62,0,26,47,9,32,0,28,45,52,22,0,0,16,12,8,38,22,0
P,46,30,25,0,2,0,0,29,48,0,35,0,30,9,0,20,3,9,0,0,0,0,17,15,0,16,19,0,28,0,15,56,4,43,0,27,0,0,5,18,25,29
TMM,27,19,54,31,19,47,18,30,14,5,49,0,44,30,0,15,5,30,7,0,0,0,0,22,0,0,41,0,17,48,3,84,39,14,0,0,38,36,21,29,33,32
N+P+TMM,13,30,12,39,51,12,11,57,31,55,21,0,18,47,0,0,12,44,14,30,15,0,10,39,0,42,27,0,32,6,0,43,23,29,0,0,2,28,12,60,5,31
Control ,0,0,0,35,25,31,0,23,25,9,18,0,40,9,0,0,33,1,65,0,0,0,31,43,0,35,53,2,10,0,5,47,26,32,0,6,0,6,0,13,25,7
Transfer to Pro99 1:15,28,24,24,18,38,22,23,37,19,19,26,0,43,35,32,1,0,7,0,26,22,0,0,34,0,34,35,0,31,12,0,27,36,0,0,0,0,44,2,44,0,21
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
