Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,50,58,25,0,13,13,28,0,0,15,50,46,12,0,0,68,0,0,0,29,24,13,0,29,0,0,0,12,31,46,0,0,16,0,30,0,46,0,2,9,50,0,23
P,0,15,37,6,23,0,52,18,0,0,45,135,80,120,114,125,144,107,158,192,140,214,162,87,53,56,35,32,88,158,68,82,109,42,0,95,15,52,0,57,0,41,0,0
TMM,0,73,62,4,29,31,40,25,30,0,32,116,75,90,86,87,191,190,313,188,137,176,139,89,72,107,86,21,100,127,109,41,39,3,0,92,25,66,17,39,20,79,19,22
N+P+TMM,2,13,27,37,39,41,22,28,19,0,10,40,53,91,125,125,206,187,372,451,154,172,132,67,155,119,70,50,137,76,111,101,25,92,19,130,37,100,34,81,33,85,65,181
Control ,0,27,70,30,17,57,13,79,26,0,52,169,157,144,228,229,410,323,700,586,386,285,299,239,296,298,201,130,277,223,255,146,78,151,0,197,76,124,11,94,104,76,52,124
Transfer to Pro99 1:15,0,25,10,10,14,43,16,8,6,0,10,52,37,5,29,0,44,14,0,6,3,51,27,0,0,0,0,13,0,19,28,0,0,0,0,56,0,39,0,12,21,51,27,7
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1
