Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,29,24,0,22,0,9,25,20,0,0,0,4,11,0,58,6,0,0,5,11,1,6,0,62,30,0,36,17,16,18,0,0,3,0,5,2,11,0,24,0,0,1
P,2,32,0,38,0,0,39,39,0,10,59,97,198,266,411,587,619,267,304,406,317,321,390,405,380,189,374,319,242,399,319,314,368,338,287,282,252,251,290,110,110,136
TMM,0,35,0,18,0,20,18,71,6,28,64,142,244,371,719,654,538,231,194,222,182,190,270,315,303,220,293,192,164,247,174,191,189,195,241,174,164,204,228,62,128,197
N+P+TMM,21,27,0,35,0,0,39,12,0,0,0,12,39,67,160,194,285,209,254,326,258,262,292,256,192,196,214,137,172,138,153,179,162,112,167,167,141,151,225,53,139,168
Control ,0,38,0,24,16,32,0,50,0,15,84,210,325,442,877,1297,1388,571,665,739,545,539,690,686,510,503,484,330,345,392,310,520,376,307,386,258,334,290,298,196,200,300
Transfer to Pro99 1:15,5,13,0,0,6,0,30,19,0,4,0,0,0,10,19,4,16,0,28,0,0,41,20,31,38,39,33,0,51,18,0,0,24,6,27,16,0,0,38,0,0,47
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
