Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,40,60,0,28,0,0,26,29,22,0,0,0,0,30,28,0,0,0,0,24,54,0,0,9,0,8,27,0,0,0,0,0,0,0,29,7,9,0,0,34,0,8,23
P,38,17,0,5,0,33,62,53,9,12,32,0,0,29,0,0,38,0,16,21,47,11,0,0,0,0,32,0,9,0,13,20,20,0,0,0,13,23,0,19,0,0,0
TMM,15,39,0,31,0,10,24,68,15,43,4,0,0,74,12,40,39,18,26,90,92,47,48,0,0,0,46,0,0,13,0,0,0,0,19,0,30,16,0,18,0,0,0
N+P+TMM,19,35,0,29,0,13,0,81,12,0,0,0,0,67,0,8,18,0,0,50,70,13,6,0,0,0,29,0,0,18,66,0,15,0,34,0,23,0,0,0,0,27,0
Control ,41,21,0,22,0,1,10,36,42,25,20,30,9,88,116,34,40,72,144,300,775,572,600,469,566,608,313,190,27,16,28,0,0,4,28,0,21,0,4,39,6,35,24
Transfer to Pro99 1:15,6,41,0,0,0,38,55,32,14,8,0,0,9,13,35,0,6,0,4,8,45,0,0,0,0,0,51,0,14,8,0,0,0,0,42,0,0,22,0,0,0,16,13
PRO,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
