Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,40,24,0,1,3,35,45,16,0,3,35,23,23,23,0,48,0,2,23,0,8,21,0,0,0,12,10,15,0,48,0,0,0,10,69,0,25,0,52,0,30,12,26
P,0,45,72,7,2,9,2,23,0,0,1,48,38,33,17,13,49,6,0,0,22,48,32,0,25,0,18,0,0,21,13,0,0,25,136,43,0,27,0,23,0,49,28,29
TMM,0,33,60,15,25,30,30,22,4,0,5,62,12,30,39,160,123,93,86,61,155,466,369,205,0,0,6,66,0,28,40,0,0,29,92,52,0,63,0,26,0,47,0,14
N+P+TMM,0,33,18,39,34,19,17,37,17,0,24,48,31,39,28,64,58,34,79,100,249,592,454,285,70,0,13,0,2,13,14,0,2,30,80,64,0,32,0,37,0,33,0,17
Control ,0,33,46,0,10,23,0,7,25,0,0,54,85,0,4,23,62,0,25,0,46,171,120,44,7,0,9,0,0,13,0,0,0,0,95,15,0,38,0,52,0,45,46,52
Transfer to Pro99 1:15,0,46,41,27,8,24,25,22,0,0,0,39,46,8,49,0,12,0,10,0,17,47,38,0,6,0,0,6,9,26,35,6,0,5,0,33,0,30,0,54,0,28,0,57
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1
