Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,13,75,0,10,16,0,23,0,8,0,2,0,67,0,25,17,40,0,18,0,35,5,0,32,0,0,0,0,6,23,5,52,0,0,22,0,0,0,41,42
P,52,45,6,18,28,0,24,0,24,7,0,0,0,0,59,23,51,13,21,14,47,0,0,58,0,12,3,21,0,0,35,33,0,8,24,0,0,0,21,34
TMM,39,43,0,0,42,14,17,0,0,0,12,0,9,23,8,0,0,2,0,29,59,0,5,60,0,0,0,12,19,12,0,55,0,0,27,0,0,0,33,39
N+P+TMM,7,52,22,0,10,2,62,0,0,0,9,0,9,0,26,18,25,0,32,35,59,16,0,79,0,6,45,16,17,17,14,14,0,0,6,0,27,3,32,25
Control ,15,13,0,13,22,24,15,6,0,0,0,0,21,0,0,19,19,6,0,0,81,29,0,66,4,7,47,27,30,15,0,37,0,0,0,0,6,31,48,48
Transfer to Pro99 1:15,29,56,3,18,25,0,0,0,3,0,7,0,55,0,10,40,8,0,0,39,51,10,0,24,0,0,23,0,0,39,0,62,4,20,6,0,56,0,70,66
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC,ATCC
