Day,0,1,5,6,7,8,11,13,14,15,18,20,22,25,27,28,29,33,35,43,46,47,49,54,55,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,16,0,0,30,3,22,0,36,0,3,14,26,0,0,21,0,66,0,40,29,26,2,0,0,17,20,12,1,0,0,0,12,10,0,0,33,0,2,53,19
P,9,0,3,33,3,29,15,0,2,7,3,40,0,0,28,0,70,27,35,18,19,13,0,0,36,12,24,3,0,0,0,0,8,33,1,0,4,82,0,16
TMM,4,0,19,27,15,16,0,21,0,9,22,23,4,0,44,0,56,13,74,0,0,19,0,0,26,45,0,25,21,21,0,25,0,64,0,14,18,0,12,52
N+P+TMM,23,0,0,9,2,0,0,14,16,1,25,42,15,20,36,12,80,52,54,70,39,59,10,0,0,50,26,0,3,3,0,22,0,23,15,0,0,0,0,30
Control ,12,0,8,19,21,17,15,5,0,25,9,47,0,0,67,0,68,0,34,0,10,52,0,0,40,16,13,0,7,7,0,0,12,23,18,46,0,13,1,20
Transfer to Pro99 1:15,18,0,29,35,16,33,20,27,7,0,2,0,0,0,13,0,52,2,48,0,0,42,0,0,0,20,28,0,0,0,0,0,6,20,0,19,0,39,2,20
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
