Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,11,0,28,25,0,19,9,47,25,19,24,0,0,10,0,22,0,0,1,0,0,3,0,43,0,0,39,6,54,0,0,0,0,13,43,0,0,3,4,39,31,50,11
P,0,0,0,45,36,0,0,12,75,10,10,0,0,0,22,0,12,27,0,0,0,0,0,0,73,0,0,22,13,20,29,9,0,0,15,22,0,0,0,0,19,0,8,1
TMM,0,21,0,35,22,0,0,5,61,22,7,0,0,0,22,0,0,0,0,1,4,0,0,0,60,0,10,32,0,0,22,0,0,0,10,8,0,30,0,0,59,0,42,0
N+P+TMM,0,26,0,33,47,0,2,19,56,19,0,12,8,0,6,0,42,0,0,0,0,0,21,0,0,0,0,0,15,4,2,2,0,0,0,29,7,0,0,0,37,0,0,0
Control ,0,37,0,21,44,0,0,0,69,22,25,0,0,0,19,0,13,0,1,0,0,0,2,0,49,0,14,17,0,23,25,0,0,0,0,0,0,0,32,0,44,19,12,0
Transfer to Pro99 1:15,0,65,0,88,28,0,0,2,61,15,19,0,0,0,9,0,23,0,29,0,0,0,42,30,39,28,0,29,12,31,34,26,0,0,14,8,0,0,13,0,37,30,63,0
PRO,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A,NATL2A
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
