Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,16,31,0,22,0,18,24,61,15,29,13,0,0,27,10,0,12,15,0,16,55,0,15,0,0,7,67,0,31,6,24,0,0,0,17,0,34,0,0,14,0,17,47
P,28,14,0,15,0,27,42,29,11,3,32,0,0,9,5,11,24,0,0,32,63,0,0,0,0,26,53,24,0,23,0,0,0,0,31,0,9,0,0,66,0,17,15
TMM,9,43,0,37,6,12,37,43,20,12,0,0,0,9,0,0,13,18,0,24,26,0,0,0,0,1,26,0,4,26,0,0,3,0,13,0,23,4,0,45,0,0,13
N+P+TMM,24,19,0,41,0,0,24,15,2,31,4,0,0,43,0,0,40,0,0,32,85,0,0,14,0,31,88,0,10,30,21,0,0,0,25,6,24,0,2,34,0,0,18
Control ,34,27,10,42,0,38,24,48,15,8,1,0,0,23,0,9,6,0,0,51,56,5,0,0,0,21,25,12,0,6,35,0,11,0,54,0,20,1,0,3,0,38,3
Transfer to Pro99 1:15,15,10,0,0,0,33,27,50,27,8,0,0,32,19,34,24,5,0,0,19,31,26,0,0,0,0,52,0,13,15,13,7,0,0,49,0,0,8,0,36,0,5,40
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
