Day,0,1,5,6,7,8,11,13,14,15,18,20,22,25,27,28,29,33,35,43,46,47,49,54,55,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,24,0,35,31,3,53,1,0,0,5,2,49,0,13,19,0,77,0,28,16,0,7,0,0,48,0,2,0,0,0,0,0,0,0,0,56,0,0,0,9
P,2,0,34,13,27,24,3,3,0,0,0,13,0,0,2,0,84,22,66,0,3,25,0,0,0,6,48,7,0,0,0,0,10,3,0,0,0,11,10,40
TMM,16,0,24,22,23,22,12,0,0,6,0,43,0,0,31,0,57,10,19,0,0,0,0,0,31,0,23,0,17,17,0,22,3,0,1,32,0,25,20,0
N+P+TMM,7,0,0,0,11,20,0,5,0,0,0,3,0,0,42,0,49,7,33,9,0,25,0,0,2,33,0,29,0,0,0,46,0,24,0,6,0,13,26,41
Control ,1,0,19,0,0,42,0,0,0,0,0,8,0,0,6,18,54,15,34,5,0,16,0,0,28,29,0,4,0,0,0,19,0,35,0,12,0,6,0,25
Transfer to Pro99 1:15,5,0,17,13,16,31,0,11,0,3,12,24,0,0,45,0,74,0,55,0,0,0,0,0,2,0,7,0,45,45,0,25,0,14,0,0,0,14,0,11
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
