Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,20,78,0,60,6,25,10,0,30,8,0,0,28,0,21,0,14,0,8,16,46,0,0,45,0,0,17,11,0,6,13,24,30,12,0,0,0,0,51,36
P,31,42,1,6,61,0,35,0,18,0,0,5,59,0,61,39,0,12,0,19,69,6,0,62,0,0,69,15,0,28,9,0,5,38,45,0,14,0,24,25
TMM,40,84,23,0,14,0,15,9,0,9,0,0,14,17,37,19,45,52,40,85,363,468,500,708,626,397,310,233,34,82,0,74,0,14,0,0,44,13,34,44
N+P+TMM,53,60,1,24,27,0,13,0,20,7,6,26,27,4,0,11,28,0,0,6,19,0,0,54,0,0,38,0,6,21,19,18,43,28,38,0,0,0,37,59
Control ,17,49,11,34,23,0,0,0,25,17,0,23,25,16,45,42,93,87,150,361,832,629,623,711,892,463,381,314,160,159,38,74,30,6,0,0,0,0,17,72
Transfer to Pro99 1:15,3,59,9,12,6,0,17,0,13,0,0,0,28,39,0,0,55,15,0,4,42,16,0,55,0,19,0,0,0,9,23,25,19,0,34,0,19,20,28,7
PRO,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
ALT,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
