Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120,130
N,0,58,0,57,34,0,0,7,43,0,0,0,2,0,14,0,18,0,0,0,0,0,4,10,26,8,0,12,23,5,13,0,0,0,0,0,0,0,15,0,36,0,34,0
P,0,25,0,59,48,26,2,0,76,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,12,12,29,0,0,26,39,6,0,0,0,26,29,31,0
TMM,0,34,0,21,54,0,25,4,105,18,17,0,0,0,0,0,10,3,0,0,0,0,9,0,39,0,0,13,1,26,29,10,0,8,8,12,0,0,0,0,66,34,26,0
N+P+TMM,0,39,0,11,33,16,0,0,55,0,6,39,0,0,53,10,20,0,0,0,0,0,0,0,65,0,0,43,0,18,3,3,0,0,6,29,0,0,0,0,20,30,27,0
Control ,23,14,0,46,20,0,0,6,49,27,49,16,1,15,10,44,38,0,0,0,0,0,0,0,59,9,0,0,14,13,43,17,0,0,0,12,0,23,0,0,54,10,39,0
Transfer to Pro99 1:15,0,49,0,48,10,0,0,12,49,0,4,0,0,0,0,0,0,0,16,0,0,0,20,0,62,33,0,12,36,23,21,0,0,0,7,0,0,0,0,10,11,4,40,13
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
