Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,21,0,31,42,8,42,0,20,63,8,37,0,40,23,0,0,51,20,0,0,0,0,7,32,0,0,92,0,55,0,0,10,37,0,0,20,24,44,13,12,44,17
P,1,0,50,32,52,28,20,50,8,34,34,0,42,0,0,0,0,46,19,10,0,0,28,33,17,0,35,6,0,30,0,81,17,31,0,12,0,30,0,10,16,0
TMM,49,5,34,7,0,0,24,33,12,42,13,0,61,35,0,11,18,44,16,0,7,0,24,7,0,3,33,0,56,27,0,38,51,0,0,25,6,0,0,46,15,29
N+P+TMM,5,0,9,49,68,4,3,10,32,21,70,0,42,17,0,0,0,24,11,0,13,0,34,8,0,20,47,0,0,28,0,6,31,23,0,0,0,1,15,5,0,17
Control ,0,0,33,42,5,24,4,29,29,4,36,0,42,0,0,0,7,17,19,2,0,0,26,40,10,0,52,0,69,46,0,31,12,35,12,4,0,19,0,43,50,0
Transfer to Pro99 1:15,0,0,15,37,0,0,0,39,24,0,30,0,26,38,28,0,0,34,0,0,10,0,19,28,8,3,67,0,0,0,0,75,21,0,0,28,0,0,0,28,18,30
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
