Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,5,38,0,30,0,21,1,42,0,0,22,16,0,0,0,14,0,9,0,50,47,0,0,9,44,6,59,13,0,0,0,0,0,0,0,0,0,0,28,0
P,22,0,5,46,0,30,26,18,0,33,32,0,0,7,0,33,0,16,0,2,20,0,0,27,37,26,50,13,0,0,0,0,0,0,0,0,0,0,27,0
TMM,10,31,0,45,0,26,48,12,0,5,30,7,0,6,18,49,0,43,0,20,53,0,0,19,57,24,11,12,0,0,0,0,0,0,0,0,0,0,0,2
N+P+TMM,0,0,0,40,23,18,107,69,77,100,225,188,70,89,292,333,229,362,512,872,917,919,808,969,1051,1069,959,1366,1847,1622,987,701,145,44,23,1,0,0,37,0
Control ,0,39,0,30,0,31,43,36,5,27,4,28,0,12,0,58,0,34,0,0,67,13,0,23,37,46,28,0,0,0,0,0,0,0,0,0,0,0,18,0
Transfer to Pro99 1:15,11,0,0,22,14,13,30,1,34,7,8,25,7,25,0,35,0,17,0,18,38,0,0,30,27,7,0,12,0,9,0,0,20,0,0,0,0,0,45,11
PRO,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604,MIT0604
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
