Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,17,12,0,32,27,42,28,30,48,22,44,0,54,3,0,18,37,9,0,0,0,0,25,47,40,0,28,23,46,0,17,24,11,47,0,5,0,28,20,35,7,47
P,0,13,30,0,29,15,36,28,47,22,75,0,47,51,10,0,25,71,25,0,2,0,31,45,0,26,25,0,22,31,6,57,38,0,0,0,0,10,0,28,6,0
TMM,0,0,36,24,0,10,36,43,0,26,34,0,28,0,0,4,1,22,4,46,0,0,32,16,0,55,69,19,57,24,0,39,41,0,0,37,22,6,1,36,0,30
N+P+TMM,11,5,56,47,36,0,0,28,26,2,37,16,25,0,0,0,25,29,8,0,0,0,22,19,0,6,35,11,44,38,12,13,21,21,0,0,0,0,31,9,9,7
Control ,3,32,53,44,5,0,6,52,39,14,30,0,52,6,14,0,0,6,0,33,0,0,6,54,0,22,48,0,41,21,0,48,0,30,0,13,0,7,3,1,4,61
Transfer to Pro99 1:15,15,12,6,23,24,12,0,60,6,0,15,0,4,28,0,0,14,30,14,0,1,0,23,41,3,0,46,14,28,0,0,63,39,0,0,8,15,24,35,40,0,2
PRO,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312,MIT9312
ALT,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
