Day,0,1,5,6,7,8,11,13,14,15,18,20,21,22,25,27,28,29,33,35,43,46,47,49,54,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112,116,118,120
N,25,13,0,0,0,28,58,0,4,1,10,0,0,36,0,0,14,17,0,40,53,19,12,0,0,0,24,0,5,25,47,21,17,0,27,7,21,19,16,3,4,0,16
P,1,47,0,15,3,59,23,35,18,17,0,0,0,13,53,10,35,0,0,45,44,0,0,0,0,13,40,23,0,3,0,40,0,0,0,0,6,0,1,0,5,0,26
TMM,20,21,0,9,0,10,17,17,12,1,0,0,0,12,0,6,24,0,15,43,50,0,13,0,0,0,22,0,11,10,0,0,45,0,51,10,20,0,0,0,0,1,23
N+P+TMM,61,45,0,25,0,52,27,42,0,37,0,0,0,20,0,12,25,0,0,36,27,6,0,0,0,0,37,0,0,26,33,16,0,0,0,19,22,0,0,36,0,0,27
Control ,2,41,0,0,0,28,37,77,16,0,0,0,0,42,16,0,27,0,0,67,14,0,0,0,0,1,55,33,11,29,44,26,25,0,40,29,39,16,0,23,43,0,12
Transfer to Pro99 1:15,20,13,0,31,0,25,52,53,18,0,37,4,0,42,18,20,41,0,0,46,64,6,0,0,0,0,42,0,5,43,32,0,0,0,47,0,24,0,0,25,4,0,11
PRO,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313,MIT9313
ALT,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11,BS11
