Day,0,1,5,6,7,8,11,13,14,15,18,20,22,25,27,28,29,33,35,43,46,47,49,54,55,57,60,62,67,69,74,76,81,85,88,92,95,97,102,112
N,0,0,2,5,28,32,8,8,1,7,6,10,0,14,9,1,28,0,33,3,0,4,0,7,39,0,0,0,17,17,0,10,17,12,0,0,0,0,0,36
P,21,0,21,32,15,44,22,16,0,10,0,20,0,0,26,0,72,0,64,19,5,23,0,0,0,24,7,0,0,0,5,15,0,2,0,23,0,34,27,18
TMM,5,0,0,0,15,44,11,26,25,0,0,53,29,1,13,0,91,8,48,14,0,12,0,0,13,0,8,0,24,24,0,8,8,25,0,0,0,19,11,0
N+P+TMM,40,0,24,0,7,31,0,25,0,0,0,33,32,6,19,0,74,46,34,10,16,3,0,0,0,16,11,0,1,1,0,26,0,14,0,0,0,23,0,61
Control ,11,0,7,25,16,14,2,0,18,3,18,39,34,26,25,0,68,51,95,33,11,34,28,0,37,0,45,9,15,15,0,0,22,6,0,0,18,34,43,13
Transfer to Pro99 1:15,24,0,7,20,14,32,18,42,3,0,0,46,0,0,26,19,65,0,21,0,0,24,0,0,45,0,42,0,15,15,7,0,13,44,0,5,0,45,18,1
PRO,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4,MED4
ALT,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3,1A3
