Date,Day,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7A,7B,7C,8A,8B,8C,9A,9B,9C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,21A,21B,21C,22A,22B,22C,23A,23B,23C,24A,24B,24C,25A,25B,25C,26A,26B,26C,27A,27B,27C,28A,28B,28C,29A,29B,29C,30A,30B,30C,31A,31B,31C,32A,32B,32C,33A,33B,33C,34A,34B,34C,35A,35B,35C,36A,36B,36C,37A,37B,37C,38A,38B,38C,39A,39B,39C,40A,40B,40C,41A,41B,41C,42A,42B,42C,43A,43B,43C,44A,44B,44C,45A,45B,45C,46A,46B,46C,47A,47B,47C,48A,48B,48C,49A,49B,49C,50A,50B,50C,51A,51B,51C,52A,52B,52C,53A,53B,53C,54A,54B,54C,55A,55B,55C,56A,56B,56C,57A,57B,57C,58A,58B,58C,59A,59B,59C,60A,60B,60C,61A,61B,61C,62A,62B,62C,63A,63B,63C,blank
8/19/2019 12:32,0,0.019,-0.005,0.048,0.019,0,0.009,0.024,0.047,0.043,0.024,0.019,0.043,0.014,0.014,0.019,0,0,0.043,0.038,0.005,-0.005,-0.01,0.038,0.005,0.043,0.005,0.014,0.01,0.038,0.014,0.033,0.019,0.031,0.019,0.014,0.009,0.005,0.024,0.024,0.038,0.024,0.005,0.048,-0.028,0.028,0.005,-0.014,0.029,-0.019,-0.029,0.019,0.01,0.029,0.01,0.024,0.019,0.014,0.01,0.024,0.019,0.024,-0.014,0.005,-0.005,0.019,0,0.033,0.019,0.025,0.029,-0.005,0,0.009,0.009,0.028,-0.01,0.028,0.029,0,0,0.019,0.019,0.028,0.033,0.019,0.052,-0.024,-0.005,0.038,0,-0.014,0.005,-0.009,0.048,0,0.01,0.01,0.043,0.005,0,0.014,0.042,-0.005,0.019,0.024,0.014,0.01,-0.029,0.005,-0.024,0.033,0.028,0.038,0.024,0.014,0,0.033,0.014,0.01,0,0.019,0.024,0.019,0.014,-0.033,0.019,0.024,-0.01,0.034,0.014,0.009,0.019,0.038,0.019,0,0.043,0.038,0.024,-0.005,-0.038,0.057,0.005,0.028,0.005,0,0.014,-0.019,0.038,0.033,0.019,0.033,0.01,0.024,0,0.01,-0.024,0.029,-0.005,0.014,0.028,-0.014,0.028,0.028,0.034,0.033,0.043,0.01,0.024,-0.01,0.034,0.014,0.038,0.024,0.038,0.024,0.01,0.005,0.024,0.019,0.038,0.009,0.019,-0.024,-0.029,0.057,0.043,0.024,0.033,0.034,0.019
8/22/2019 10:52,2.930555556,0.005,0.033,0.028,0,0.024,0.014,0.019,-0.014,-0.019,0.014,0.009,0.014,0.033,0.019,0.028,0.023,0.024,0.019,0.024,-0.038,0.014,0.014,-0.005,0.019,0.028,0.028,0.028,0.033,0,0.005,0.042,0,0.019,0.019,0.014,-0.005,-0.005,0.014,0,0.005,0.052,0.009,0,0.019,-0.014,0.014,0,0.052,-0.028,0.009,-0.009,0.042,-0.042,0.019,0.014,0.014,0.052,-0.023,0.024,0.033,0.019,0.014,0.019,-0.01,0.024,0.038,0.028,0.005,0.042,0.005,0.009,0.024,-0.019,0.005,0.014,-0.019,0.033,0,0.023,0.033,0.028,0.01,0.005,0.014,-0.024,0.023,0.005,0.043,0,0.028,0.038,0.009,0.024,0.005,0.019,-0.014,0.043,0.047,-0.024,0.019,0.023,0.005,0,0.024,0.019,0.023,0.024,-0.005,-0.009,0.01,0.019,0.033,0,0.019,0.014,0.005,-0.01,0,0.009,0.009,0.014,0.038,-0.028,0.024,0.033,0,0,0.009,-0.023,0.005,0.005,0.056,-0.005,0,0.042,0.019,0.028,-0.009,0.019,0.019,0.009,0.024,-0.009,0.047,0.029,0,0,0.019,0,-0.005,0.005,0.033,0.023,0.009,0.019,0.033,0.019,0.052,0.005,0.014,0.014,0.024,0.066,0.019,0.028,0.042,0.023,0.005,0.014,-0.014,-0.014,0.038,0.019,0.024,-0.005,0.005,0.014,0.005,-0.019,0.01,0.056,0.014,0.039,0.005,0.048,0.014,0.038,0.009,0.01,0.014
8/25/2019 8:41,5.839583333,0.034,0.005,0.042,0.014,0,0.014,0.023,0.014,0.029,0.014,0.033,0.066,0.028,0.033,0.014,-0.024,0.014,0.057,0.033,0.005,0.038,0.014,0.005,0,0,0.014,0.048,0.005,0.029,-0.005,0,0.033,0.014,-0.024,0.033,0.028,0.014,0.038,0.024,-0.019,-0.005,0.024,0.038,0.014,0.005,0.052,0.024,0.009,0.014,0.033,0.014,0.019,0.024,-0.005,0.014,-0.005,0.014,0.028,0.01,0.038,0.038,0.009,0.015,0.033,0.009,0.019,0,-0.005,-0.01,0.01,0.033,-0.005,-0.023,0.033,0.038,0.019,0.033,0.024,0.024,0.053,0.01,0.019,-0.009,-0.014,0.019,0.024,0.028,-0.01,0.019,0,-0.024,0.043,0.01,0,0.014,0.024,0.024,-0.009,-0.053,0.009,-0.014,0.029,-0.019,0.038,0.033,0.009,-0.005,0.005,0.009,0.043,0,0.014,0.005,0.019,0.024,0.033,0.047,0.047,0.005,0.053,0.029,0.014,0.019,0.028,0.038,-0.01,0.024,0.024,-0.019,0,0.01,-0.005,0.029,0.019,0.052,0.014,-0.005,-0.024,0.029,0.014,0.052,-0.019,0.038,0.014,0.009,-0.014,0.019,0.029,0.024,-0.014,0.009,-0.034,0.043,0.01,0.014,0.005,0.024,-0.01,0.029,0.034,0.038,0.014,0.047,0.039,0.038,0.019,0.062,0.038,0.024,0.014,0.024,0.005,0.009,0.019,0.052,0.066,0.047,0.043,0.009,0.047,0.009,0.005,0.015,0.029,0.014,0.047,0.048,0.058,0.043,0.005
8/27/2019 11:02,7.9375,0.033,0.005,0.038,0.005,0.028,0.033,0.038,0,0,0.043,0.009,0.014,-0.01,0.005,0.019,0.028,0.019,0.014,0,-0.005,0.033,0.005,0.038,0.009,-0.023,0.023,0.014,-0.009,0.009,0.005,0.033,0,0.024,-0.009,0.014,0.028,0.019,0.005,0.005,0.014,0.038,0.009,0.014,0.023,0.014,0.047,-0.005,0.019,0.056,-0.033,0.051,0.037,0.005,0.014,0.009,0.009,0.028,-0.014,0.019,0.009,0.023,0.019,0.028,-0.023,0.019,0.019,0.051,0,-0.005,-0.005,0.037,0.042,0.005,0.019,0.019,0.009,0.005,0.024,0.005,0.014,0,0.028,-0.009,0.028,0.014,-0.005,0.014,0,0.005,0.005,0.038,-0.005,0.047,0,0.024,0.038,0.033,0.028,0.028,-0.005,0,0,0.028,0.009,0.014,0.033,-0.005,-0.014,0.028,0.033,0.023,0.037,0.028,0.052,0.014,0.042,0.029,0.005,0.038,0.038,0.028,-0.024,-0.014,-0.014,0.009,0.028,0.042,0.014,0.014,-0.014,0.019,0.014,0.061,0.028,0.023,0.038,0.033,-0.009,-0.005,0.056,0.028,0.023,-0.005,0.019,0.038,0.014,0.005,0.023,0.024,0.056,0.014,0.028,0.023,0.005,0.028,0,0.009,0.005,0.043,0.033,-0.009,0.052,0.019,0.038,0.052,0.028,0.014,0,0.042,0,-0.005,0.047,0.061,0.047,0.062,0.113,0.093,0.071,0.024,0.057,0.024,0.014,0.005,0.084,0.084,0.099,0.15,0.119,0.108,0.038
8/29/2019 10:45,9.925694444,0.005,0,0.019,0.019,-0.014,0.014,0.005,-0.009,0.005,-0.005,0.009,0.019,0.014,0.009,0.028,-0.009,-0.038,-0.009,0.028,0.028,0.014,0.024,0.028,0.009,-0.005,0.005,-0.005,0.028,0.038,0.033,-0.009,0.005,0.019,0.019,0,0.009,0.052,0,0,0.014,0.019,-0.005,0.005,0.005,0.009,0,-0.024,0,0.005,0.014,0.028,0.033,0,0,-0.005,0.033,0.014,0.019,-0.019,0.005,-0.005,0.019,0.057,0.009,0.014,0.019,0.038,0.019,0.014,0.005,0.033,-0.009,0.005,0,0.038,-0.005,0.024,0.046,0.019,0.005,0.028,0.005,0.028,0.014,0.024,-0.005,-0.005,-0.009,0.028,0.033,0.005,-0.005,0.023,-0.019,0.019,-0.005,0.033,0.028,0.024,0.024,-0.005,0.038,-0.005,-0.005,0.052,0.009,0.023,0.028,0.038,0.061,0.033,0.033,0.033,0.009,0.014,0.019,0,0.028,0.009,-0.019,0.023,0.028,0.047,0.033,0.047,0,0.061,-0.019,0.009,0.033,-0.019,0.042,-0.005,0.042,0.053,0.038,0.038,0.014,0.028,0.047,0.023,0.037,0.005,0.014,0.009,-0.009,-0.014,0.023,0.038,0.033,-0.023,0.038,0.014,0.005,0.048,0.009,0,0.037,0.005,0.043,0.042,0.056,0.075,0.108,0.113,0.098,0.019,0.028,0.014,0.019,0,0.042,0.089,0.047,0.207,0.219,0.17,0.094,0.095,0.066,0.052,0.033,0.024,0.075,0.161,0.127,0.34,0.215,0.216,0.028
8/31/2019 10:50,11.92916667,0.065,-0.014,0.023,0.005,-0.005,0.052,0,0.014,0.005,0.009,0.028,0.005,0.038,0.028,0,-0.005,0.005,0.014,0.042,0.029,0.019,0.038,0.009,0.019,0.024,0.029,0.038,0.042,0.061,0.019,0.005,0.005,0.014,0.024,0,0.042,0,0.043,0.038,0.009,0.033,0.024,0.024,-0.014,0.038,0.029,0.009,0.033,0.024,0.009,0.014,0.019,0.019,0.005,0.029,0.01,-0.033,0.038,0.033,-0.005,0.024,0.005,0.014,-0.019,0.033,0.024,0.019,0.024,-0.014,0.014,0.024,0.038,0,0.038,-0.009,-0.005,0.024,-0.009,-0.024,0.024,0.052,0.014,0.014,0.009,0.024,0.01,0.019,0.005,-0.019,-0.019,-0.005,0.024,0.062,0.005,0.009,0,0.009,0.014,0.039,0.028,0.028,0.024,0.024,0.019,0.033,0.043,-0.014,-0.009,0.061,-0.019,0.033,0.014,-0.005,0.019,0.052,0.038,0.038,0.019,0.033,0.033,0.057,0.042,0.033,-0.009,-0.038,0.01,0.028,0.01,0.014,0.024,0.019,-0.005,-0.01,0.033,0.029,0.043,0.009,0.052,0.091,0.047,0.009,0.043,0.062,0.043,-0.01,0.014,0.029,0.028,0.019,0.038,0.033,0.037,0.038,0.019,0.038,0.047,0,0.043,0.005,0.033,0.076,0.118,0.234,0.199,0.211,0.09,0.091,0.043,0.038,0.052,0.014,0.216,0.137,0.171,0.357,0.319,0.398,0.234,0.143,0.105,0.033,0.033,0.019,0.2,0.322,0.439,0.488,0.423,0.351,0.014
9/2/2019 12:00,13.97777778,0.037,0.014,0.019,0.014,0.028,0.009,0,-0.019,0.009,0.038,0.024,-0.019,0.019,0.014,0.024,0.009,0.024,0.038,0.038,0.005,-0.005,0,0.009,-0.005,-0.009,0.014,0,-0.009,0.01,0.009,0,-0.023,-0.024,-0.028,0.028,0.024,0.01,0.014,0.005,0.014,0,0.023,0.047,0.024,-0.01,0.014,0.014,0.042,0.047,0.056,-0.005,-0.014,0.023,0,0.047,0.033,0.047,0.005,0.005,0.057,0.028,0.028,0.019,-0.024,0,0.043,-0.005,0.024,0.024,0.028,0.023,0.019,0.043,0.014,0.019,0.029,0.009,0.033,-0.005,0.024,0.019,0.023,0.023,0.023,0.042,0.014,0.028,0.019,0.024,0.019,0.028,0.051,0.08,0,0.028,0.042,0,0.005,0.033,0.023,0.033,0.009,0.056,0.024,0.019,0.038,0.005,0.028,0.122,0.062,0.085,0.042,0.028,0.023,0.005,0.009,0.014,0.024,0.037,0.009,0.075,0.058,0.028,0.019,-0.005,0.015,0.08,0,0.085,0.033,-0.005,-0.005,0.038,0.037,0.085,0.024,0.028,0.014,0.124,0.103,0.024,0.062,0.005,0.014,0.033,0.029,0.005,0.107,0.103,0.109,0.08,0.108,0.051,0.037,0.019,0,0.028,0.033,0.038,0.014,0.101,0.229,0.457,0.448,0.499,0.217,0.178,0.189,0.075,0.061,0.038,0.329,0.287,0.363,0.759,0.856,0.779,0.64,0.358,0.276,0.029,0.014,0.028,0.381,0.748,0.861,1.3,0.887,0.851,0.014
9/3/2019 10:44,14.925,0.023,0.051,0,0.033,0.009,-0.005,0.033,-0.009,0.038,-0.019,0,0.014,0.042,0.009,0.019,0.009,0.023,-0.009,0,0.005,-0.042,0.005,0.009,0,0.019,0.019,0.014,0.009,0.033,0.019,0.01,0.014,0.037,0,0.019,-0.014,0.056,0.033,0.033,0.019,0.009,0.009,0.047,0.009,0.005,0.005,0.019,0.005,-0.005,0.024,0.057,0.014,-0.009,0.019,0.019,0.024,0.033,-0.005,-0.01,0.019,0.014,0.057,0.014,0.009,0.023,0.009,-0.014,0.009,0.005,0.033,0.057,0.076,0.038,0.019,0.009,-0.01,0,0.009,0.038,0.038,0.023,0.01,0.005,0.019,0.038,0.019,0.019,-0.009,0.038,0.023,0.033,0.028,0.084,-0.009,0.019,0.005,0.005,0.033,0.005,0.029,0.033,-0.005,0.024,0.047,0.014,0.005,0.023,0.009,0.089,0.113,0.085,0.028,0.024,0.028,0.033,0.019,0.024,0.052,0.009,0.014,0.118,0.047,0.09,0.038,0.014,0.005,0.019,0.038,0.056,0.014,0,0.038,0.056,0.076,0.061,-0.028,0.009,-0.005,0.197,0.048,0.038,0.009,0.033,0,0.019,-0.029,0,0.133,0.184,0.033,0.119,0.113,0.047,0.028,0.047,0.028,-0.01,0.087,0.047,0.033,0.181,0.405,0.738,0.622,0.84,0.317,0.226,0.283,0.108,0.033,0.104,0.558,0.466,0.498,1.061,1.151,1.129,0.88,0.522,0.345,0.033,0.028,0.014,0.573,1.016,1.169,1.702,1.258,1.174,0.014
9/5/2019 15:18,17.11527778,0.024,0,-0.005,-0.005,0.014,0.009,0.038,0.009,0.028,-0.019,0.033,0.014,0.062,0.063,0.038,0.052,0.061,0.014,0.009,-0.005,-0.014,-0.033,0.024,0.028,0.024,-0.024,-0.014,0.014,0.061,0.028,0,0,0.038,0,0.019,-0.005,0.009,0.019,-0.024,0.038,0.019,0.019,0.009,-0.005,-0.028,0.024,0.01,0.019,0.014,0.066,0.028,0.038,0.024,-0.019,0.047,0.066,0.019,0.024,0.005,0.014,0.033,0.043,0.061,0.014,0.019,-0.005,0.014,0.033,0,0.038,0.056,0.019,0,-0.009,0.019,0.033,0.019,0.019,0.043,0,0.028,0.038,0.019,0.1,0.061,0.066,0.08,0.043,0.005,0.033,0.194,0.185,0.165,0.005,0.005,0.024,0.038,0.043,0.01,0.005,0.029,0,0.057,0.028,0.057,0,0.005,0,0.303,0.244,0.142,0.047,0.009,0.077,0.033,-0.028,0.009,0.029,0.033,0.028,0.205,0.095,0.218,-0.014,0.014,-0.009,0.076,0.09,0.152,-0.005,0.009,0.028,0.047,0.066,0.119,0,0.01,-0.019,0.224,0.127,0.123,0.052,0.01,0.005,0,0.014,0.014,0.287,0.228,0.185,0.217,0.186,0.109,0.053,0.043,0.029,-0.014,0.138,0.019,0.067,0.272,0.792,1.301,1.411,1.561,0.561,0.55,0.655,0.179,0.116,0.157,1.341,1.073,1.107,2.215,2.196,2.004,1.653,0.829,0.577,0,0.019,0.033,1.15,1.843,2.09,2.685,2.205,2.175,-0.024
9/8/2019 10:25,19.91180556,-0.009,-0.005,0.019,0.033,0.014,0.033,0,-0.005,0.019,-0.033,0,0,0.07,0.075,0.038,0.01,0.023,0.047,0.047,-0.024,0.038,0.023,0.014,-0.009,-0.014,0.024,0.019,0.089,0.113,0.208,0,-0.005,0.005,0.033,0,0,0.005,0.033,0.009,0.061,0.028,0.042,0.005,-0.014,0.019,0.046,0.009,0.033,0.057,0.187,0.061,0.009,0.005,0.005,0.112,0.098,0.084,0.023,0.042,0.009,0.084,0.098,0.094,0.019,0.024,0,-0.005,0.033,0.009,0.201,0.103,0.066,-0.009,0.024,0.014,0.014,0.033,0.009,0.009,0.047,0.038,-0.019,-0.009,0.274,0.25,0.321,0.268,0.023,0.038,0,0.585,0.596,0.522,-0.014,0.009,-0.009,0.07,0.07,0.066,0.019,0.014,0.042,0.155,0.135,0.188,0,0,0.047,0.934,0.863,0.686,0.159,0.056,0.161,0.014,0.028,0.014,0.085,0.056,0.019,0.412,0.267,0.393,0.028,-0.005,0,0.234,0.223,0.272,0.005,0.024,-0.019,0.171,0.186,0.262,0.019,0.019,0.014,0.489,0.202,0.18,0.062,0.066,0.061,0.033,0.005,0.019,0.596,0.593,0.394,0.616,0.348,0.219,0.159,0.14,0.051,0,0.279,0.038,0.135,0.763,1.642,2.606,2.759,3.228,1.346,1.279,1.367,0.509,0.366,0.401,2.734,2.259,2.6,4.276,4.454,4.266,3.416,1.838,1.221,-0.005,0.052,0.024,2.654,3.99,4.712,5.453,4.382,4.426,0.019
