name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	118	121	239	0.11422
Glycocaulis	1433402	G	8	6	14	0.00676
Hyphomonas	85	G	6	2	8	0.00412
Labrenzia	478070	G	5	4	9	0.00432
Paracoccus	265	G	3	9	12	0.00605
Ruegeria	97050	G	3	4	7	0.00348
Sulfitobacter	60136	G	2	0	2	0.00124
Roseovarius	74030	G	2	0	2	0.00126
Thioclava	285107	G	2	4	6	0.00287
Rhodobacter	1060	G	1	0	1	0.00048
Thalassococcus	436357	G	1	0	1	0.00059
Celeribacter	875170	G	1	2	3	0.00179
Litoreibacter	947567	G	1	0	1	0.00071
Pelagibaca	360528	G	1	5	6	0.00313
Tateyamaria	299261	G	1	0	1	0.00059
Confluentimicrobium	1609958	G	1	5	6	0.00287
Epibacterium	1649279	G	1	3	4	0.00194
Pannonibacter	227873	G	1	27	28	0.01338
Marivivens	1759396	G	1	3	4	0.00192
Halovulum	1844498	G	1	0	1	0.00081
Rhodovulum	34008	G	1	1	2	0.00115
Stappia	152161	G	1	3	4	0.00208
Octadecabacter	53945	G	1	5	6	0.00293
Monaibacterium	2029873	G	1	1	2	0.00130
Paraoceanicella	2683599	G	1	2	3	0.00173
Yoonia	2211641	G	1	1	2	0.00133
Antarctobacter	74032	G	1	0	1	0.00067
Bradyrhizobium	374	G	16	21	37	0.01796
Rhodopseudomonas	1073	G	4	12	16	0.00808
Bosea	85413	G	2	2	4	0.00197
Rhizobium	379	G	11	7	18	0.00871
Agrobacterium	357	G	1	0	1	0.00048
Neorhizobium	1525371	G	1	2	3	0.00155
Sinorhizobium	28105	G	2	8	10	0.00487
Ensifer	106591	G	2	6	8	0.00409
Georhizobium	2661800	G	1	4	5	0.00242
Mesorhizobium	68287	G	6	19	25	0.01228
Phyllobacterium	28100	G	1	1	2	0.00113
Hoeflea	274591	G	1	1	2	0.00108
Roseitalea	1915401	G	1	1	2	0.00135
Salaquimonas	2712688	G	1	0	1	0.00072
Devosia	46913	G	5	3	8	0.00393
Rhodoplanes	29407	G	1	0	1	0.00093
Pelagibacterium	1082930	G	1	2	3	0.00155
Methylobacterium	407	G	1	0	1	0.00048
Methylorubrum	2282523	G	1	10	11	0.00528
Azorhizobium	6	G	1	2	3	0.00163
Starkeya	152053	G	1	2	3	0.00152
Labrys	204476	G	1	1	2	0.00098
Terasakiella	196080	G	2	0	2	0.00127
Methylosinus	425	G	1	1	2	0.00109
Pyruvatibacter	1742974	G	2	1	3	0.00184
Parvibaculum	256616	G	1	16	17	0.00814
Ochrobactrum	528	G	2	4	6	0.00315
Cohaesibacter	655352	G	2	1	3	0.00160
Chelatococcus	28209	G	2	2	4	0.00225
Bartonella	773	G	1	0	1	0.00093
Methyloceanibacter	1484898	G	1	0	1	0.00073
Martelella	293088	G	1	2	3	0.00151
Sphingomonas	13687	G	7	2	9	0.00471
Sphingobium	165695	G	2	9	11	0.00537
Sphingosinicella	335405	G	2	1	3	0.00150
Novosphingobium	165696	G	1	0	1	0.00048
Sphingosinithalassobacter	2676233	G	1	1	2	0.00128
Erythrobacter	1041	G	5	11	16	0.00790
Altererythrobacter	361177	G	3	2	5	0.00245
Croceicoccus	1295327	G	1	1	2	0.00130
Qipengyuania	1855416	G	1	0	1	0.00078
Brevundimonas	41275	G	13	22	35	0.01715
Caulobacter	75	G	8	14	22	0.01064
Asticcacaulis	76890	G	2	3	5	0.00256
Azospirillum	191	G	4	13	17	0.00837
Rhodospirillum	1081	G	2	5	7	0.00354
Magnetospira	1182780	G	2	0	2	0.00137
Magnetospirillum	13134	G	1	1	2	0.00107
Thalassospira	168934	G	1	0	1	0.00090
Niveispirillum	1543704	G	1	2	3	0.00181
Pararhodospirillum	1612157	G	1	1	2	0.00098
Komagataeibacter	1434011	G	3	3	6	0.00302
Acetobacter	434	G	1	0	1	0.00073
Gluconobacter	441	G	1	0	1	0.00048
Stella	93	G	1	1	2	0.00101
Gluconacetobacter	89583	G	1	1	2	0.00100
Parasaccharibacter	1602345	G	1	0	1	0.00091
Neokomagataea	1223423	G	1	1	2	0.00102
Phreatobacter	1632780	G	1	4	5	0.00242
Parvularcula	208215	G	1	0	1	0.00075
Emcibacter	1602338	G	1	0	1	0.00067
Pseudomonas	286	G	89	100	189	0.09042
Acinetobacter	469	G	5	3	8	0.00409
Marinobacter	2742	G	38	81	119	0.05719
Alteromonas	226	G	30	28	58	0.02791
Salinimonas	288793	G	1	0	1	0.00048
Shewanella	22	G	8	3	11	0.00567
Pseudoalteromonas	53246	G	3	4	7	0.00354
Idiomarina	135575	G	3	0	3	0.00188
Thalassotalea	1518149	G	1	1	2	0.00126
Ferrimonas	44011	G	1	1	2	0.00111
Psychromonas	67572	G	1	0	1	0.00085
Enterobacter	547	G	3	6	9	0.00438
Klebsiella	570	G	2	71	73	0.03494
Cronobacter	413496	G	2	8	10	0.00524
Citrobacter	544	G	1	0	1	0.00048
Kluyvera	579	G	1	5	6	0.00328
Salmonella	590	G	1	8	9	0.00462
Lelliottia	1330545	G	1	2	3	0.00154
Cedecea	158483	G	1	1	2	0.00139
Serratia	613	G	4	13	17	0.00841
Yersinia	629	G	3	1	4	0.00231
Rouxiella	1565532	G	1	0	1	0.00095
Pantoea	53335	G	6	6	12	0.00575
Erwinia	551	G	1	0	1	0.00048
Dickeya	204037	G	2	3	5	0.00249
Sodalis	84565	G	1	0	1	0.00048
Plesiomonas	702	G	1	3	4	0.00221
Phytobacter	447792	G	1	24	25	0.01199
Proteus	583	G	1	9	10	0.00507
Photorhabdus	29487	G	1	0	1	0.00077
Methylophaga	40222	G	59	185	244	0.11662
Thiomicrorhabdus	2039723	G	2	0	2	0.00119
Hydrogenovibrio	28884	G	1	0	1	0.00095
Thioploca	40751	G	1	0	1	0.00052
Halomonas	2745	G	9	14	23	0.01140
Kushneria	504090	G	1	0	1	0.00071
Marinobacterium	48075	G	2	1	3	0.00160
Marinomonas	28253	G	1	1	2	0.00104
Alcanivorax	59753	G	1	0	1	0.00048
Ketobacter	2025617	G	1	3	4	0.00200
Hahella	158481	G	1	0	1	0.00071
Saccharospirillum	231683	G	1	0	1	0.00079
Kangiella	261963	G	1	0	1	0.00093
Nitrosococcus	1227	G	2	0	2	0.00116
Thiocystis	13724	G	2	0	2	0.00131
Rheinheimera	67575	G	1	0	1	0.00084
Marichromatium	85076	G	1	0	1	0.00090
Thioalkalivibrio	106633	G	1	0	1	0.00070
Alkalilimnicola	133193	G	1	0	1	0.00075
Spiribacter	1335745	G	1	0	1	0.00059
Sulfuriflexus	1860077	G	2	0	2	0.00115
