name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	1458	948	2406	0.14697
Glycocaulis	1433402	G	144	74	218	0.01336
Hyphomonas	85	G	66	23	89	0.00546
Hirschia	2723	G	3	0	3	0.00021
Labrenzia	478070	G	61	20	81	0.00496
Paracoccus	265	G	31	54	85	0.00523
Sulfitobacter	60136	G	29	49	78	0.00480
Ruegeria	97050	G	26	122	148	0.00905
Roseovarius	74030	G	19	33	52	0.00319
Rhodobacter	1060	G	18	41	59	0.00363
Phaeobacter	302485	G	18	25	43	0.00266
Boseongicola	1648497	G	13	1	14	0.00091
Celeribacter	875170	G	13	40	53	0.00327
Stappia	152161	G	12	16	28	0.00174
Octadecabacter	53945	G	11	3	14	0.00089
Thioclava	285107	G	11	17	28	0.00174
Monaibacterium	2029873	G	9	17	26	0.00164
Dinoroseobacter	309512	G	7	30	37	0.00231
Leisingera	191028	G	7	7	14	0.00090
Tabrizicola	1443919	G	6	3	9	0.00059
Parasedimentitalea	2738399	G	6	2	8	0.00051
Pseudovibrio	258255	G	6	3	9	0.00058
Rhodovulum	34008	G	6	5	11	0.00069
Brevirhabdus	1855413	G	6	27	33	0.00206
Pannonibacter	227873	G	5	82	87	0.00537
Yoonia	2211641	G	5	11	16	0.00100
Roseobacter	2433	G	5	0	5	0.00035
Roseivivax	93682	G	4	2	6	0.00043
Thalassococcus	436357	G	4	0	4	0.00029
Marinovum	367771	G	4	13	17	0.00109
Jannaschia	188905	G	3	0	3	0.00021
Mameliella	1434019	G	3	6	9	0.00056
Planktomarina	1284657	G	3	0	3	0.00022
Epibacterium	1649279	G	3	10	13	0.00082
Pseudohalocynthiibacter	1759417	G	3	5	8	0.00050
Ketogulonicigenium	92944	G	3	2	5	0.00036
Silicimonas	1955420	G	3	0	3	0.00024
Halovulum	1844498	G	2	1	3	0.00020
Yangia	354203	G	2	1	3	0.00023
Thalassobius	335927	G	2	0	2	0.00018
Marivivens	1759396	G	2	7	9	0.00058
Tateyamaria	299261	G	2	0	2	0.00015
Confluentimicrobium	1609958	G	2	11	13	0.00081
Paraoceanicella	2683599	G	2	4	6	0.00040
