name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	431	172	603	0.24933
Marinobacter	2742	G	54	86	140	0.05809
Glaciecola	89404	G	2	0	2	0.00095
Salinimonas	288793	G	1	0	1	0.00070
Saliniradius	2661818	G	1	0	1	0.00054
Shewanella	22	G	3	0	3	0.00124
Colwellia	28228	G	1	1	2	0.00092
Pseudoalteromonas	53246	G	1	0	1	0.00059
Idiomarina	135575	G	1	0	1	0.00041
Psychromonas	67572	G	1	0	1	0.00063
Pseudomonas	286	G	67	51	118	0.04905
Permianibacter	1649479	G	2	0	2	0.00091
Acinetobacter	469	G	3	3	6	0.00273
Moraxella	475	G	1	2	3	0.00163
Methylophaga	40222	G	64	104	168	0.06948
Thiomicrorhabdus	2039723	G	3	0	3	0.00146
Thiomicrospira	933	G	1	0	1	0.00053
Beggiatoa	1021	G	1	0	1	0.00044
Thioploca	40751	G	1	0	1	0.00042
Francisella	262	G	1	0	1	0.00041
Enterobacter	547	G	3	0	3	0.00124
Citrobacter	544	G	1	0	1	0.00041
Shimwellia	1335483	G	1	9	10	0.00443
Candidatus Hamiltonella	568987	G	1	0	1	0.00076
Cronobacter	413496	G	1	0	1	0.00041
Serratia	613	G	4	8	12	0.00513
Rahnella	34037	G	1	14	15	0.00626
Pantoea	53335	G	5	4	9	0.00392
Dickeya	204037	G	2	3	5	0.00217
Pectobacterium	122277	G	1	0	1	0.00041
Providencia	586	G	1	0	1	0.00041
Xenorhabdus	626	G	1	1	2	0.00119
Halomonas	2745	G	15	5	20	0.00859
Kushneria	504090	G	1	0	1	0.00049
Marinobacterium	48075	G	3	0	3	0.00162
Marinomonas	28253	G	1	0	1	0.00062
Oleispira	188907	G	1	0	1	0.00059
Bacterioplanes	1537406	G	1	0	1	0.00050
Alcanivorax	59753	G	4	10	14	0.00605
Saccharospirillum	231683	G	1	0	1	0.00053
Gynuella	1445504	G	1	0	1	0.00048
Endozoicomonas	305899	G	2	0	2	0.00108
Kangiella	261963	G	1	0	1	0.00062
Nitrosococcus	1227	G	3	3	6	0.00248
Thiocystis	13724	G	1	0	1	0.00060
Rheinheimera	67575	G	1	0	1	0.00055
Marichromatium	85076	G	1	1	2	0.00086
Thioalkalivibrio	106633	G	5	19	24	0.01004
Spiribacter	1335745	G	1	0	1	0.00050
Acidihalobacter	1765964	G	1	0	1	0.00055
Sulfuriflexus	1860077	G	3	0	3	0.00140
Sulfurivermis	2034504	G	2	11	13	0.00548
Woeseia	1738655	G	1	0	1	0.00045
Guyparkeria	2035712	G	1	1	2	0.00094
Halioglobus	1217416	G	2	4	6	0.00257
Congregibacter	393661	G	1	2	3	0.00145
Microbulbifer	48073	G	4	0	4	0.00204
Cellvibrio	10	G	1	0	1	0.00046
Teredinibacter	2425	G	1	0	1	0.00047
Simiduia	447467	G	1	0	1	0.00050
Spongiibacter	630749	G	1	1	2	0.00118
Xanthomonas	338	G	3	0	3	0.00124
Stenotrophomonas	40323	G	2	2	4	0.00176
Lysobacter	68	G	1	0	1	0.00059
Luteimonas	83614	G	1	0	1	0.00062
Thermomonas	141948	G	1	1	2	0.00084
Arenimonas	490567	G	1	0	1	0.00061
Frateuria	70411	G	1	0	1	0.00054
Methylomicrobium	39773	G	5	1	6	0.00266
Methylovulum	762296	G	2	0	2	0.00106
Methylomonas	416	G	1	12	13	0.00575
Vibrio	662	G	7	6	13	0.00563
Photobacterium	657	G	1	0	1	0.00069
Aeromonas	642	G	5	5	10	0.00413
Tolumonas	43947	G	1	3	4	0.00204
Sedimenticola	349742	G	2	0	2	0.00095
Legionella	445	G	1	0	1	0.00047
Maricaulis	74317	G	100	27	127	0.05281
Glycocaulis	1433402	G	5	1	6	0.00263
Hyphomonas	85	G	4	0	4	0.00187
Paracoccus	265	G	7	2	9	0.00395
Sulfitobacter	60136	G	5	6	11	0.00495
Labrenzia	478070	G	5	0	5	0.00223
Rhodobacter	1060	G	3	0	3	0.00150
Phaeobacter	302485	G	3	2	5	0.00234
Brevirhabdus	1855413	G	2	4	6	0.00267
Pseudovibrio	258255	G	2	0	2	0.00096
Ruegeria	97050	G	2	1	3	0.00128
Parasedimentitalea	2738399	G	1	0	1	0.00048
Halovulum	1844498	G	1	0	1	0.00052
Marivivens	1759396	G	1	1	2	0.00121
Celeribacter	875170	G	1	1	2	0.00122
Leisingera	191028	G	1	0	1	0.00041
Roseovarius	74030	G	1	1	2	0.00115
Rhodobaca	119541	G	1	0	1	0.00046
Roseivivax	93682	G	1	0	1	0.00072
Rhizobium	379	G	5	4	9	0.00387
Agrobacterium	357	G	4	9	13	0.00539
Neorhizobium	1525371	G	1	0	1	0.00041
Sinorhizobium	28105	G	2	3	5	0.00229
Bradyrhizobium	374	G	11	7	18	0.00768
Rhodopseudomonas	1073	G	1	1	2	0.00087
Oligotropha	40136	G	1	0	1	0.00041
Bosea	85413	G	1	1	2	0.00090
Mesorhizobium	68287	G	8	11	19	0.00805
Nitratireductor	245876	G	1	0	1	0.00074
Chelativorans	449972	G	1	0	1	0.00069
Roseitalea	1915401	G	1	0	1	0.00075
Devosia	46913	G	3	1	4	0.00166
Hyphomicrobium	81	G	2	0	2	0.00099
Blastochloris	59282	G	1	2	3	0.00135
Filomicrobium	119044	G	1	0	1	0.00045
Methylocystis	133	G	2	1	3	0.00134
Methylosinus	425	G	1	0	1	0.00081
Terasakiella	196080	G	1	5	6	0.00252
Methylocella	120652	G	2	1	3	0.00133
Pyruvatibacter	1742974	G	3	1	4	0.00168
Methylobacterium	407	G	2	2	4	0.00180
Azorhizobium	6	G	1	1	2	0.00086
Labrys	204476	G	1	0	1	0.00067
Pseudolabrys	556257	G	1	1	2	0.00094
Methyloligella	1485594	G	1	0	1	0.00064
Hartmannibacter	1572860	G	1	1	2	0.00096
Martelella	293088	G	1	1	2	0.00107
Breoghania	1406135	G	1	0	1	0.00073
Sphingomonas	13687	G	5	0	5	0.00234
Sphingobium	165695	G	3	11	14	0.00594
Novosphingobium	165696	G	3	1	4	0.00177
Sphingopyxis	165697	G	2	1	3	0.00141
Citromicrobium	72173	G	1	1	2	0.00108
Sphingorhabdus	1434046	G	1	0	1	0.00044
Tardibacter	2685927	G	1	3	4	0.00184
Altererythrobacter	361177	G	3	4	7	0.00319
Erythrobacter	1041	G	1	0	1	0.00048
Porphyrobacter	1111	G	1	0	1	0.00058
Brevundimonas	41275	G	12	5	17	0.00736
Caulobacter	75	G	8	2	10	0.00436
Asticcacaulis	76890	G	2	0	2	0.00122
Acetobacter	434	G	3	0	3	0.00143
Gluconobacter	441	G	2	1	3	0.00132
Stella	93	G	1	1	2	0.00092
Gluconacetobacter	89583	G	1	0	1	0.00051
Asaia	91914	G	1	0	1	0.00049
Roseomonas	125216	G	1	0	1	0.00041
Azospirillum	191	G	5	0	5	0.00236
Magnetospirillum	13134	G	1	437	438	0.18096
Thalassospira	168934	G	1	0	1	0.00046
Skermanella	204447	G	1	0	1	0.00049
Niveispirillum	1543704	G	1	0	1	0.00053
Indioceanicola	2478349	G	1	0	1	0.00049
Candidatus Puniceispirillum	767891	G	1	0	1	0.00046
Micavibrio	213485	G	1	0	1	0.00042
Polymorphum	991903	G	1	0	1	0.00075
Magnetococcus	162171	G	1	0	1	0.00043
Burkholderia	32008	G	4	1	5	0.00217
Cupriavidus	106589	G	4	34	38	0.01592
Pandoraea	93217	G	2	3	5	0.00218
Paraburkholderia	1822464	G	1	0	1	0.00041
Herbaspirillum	963	G	3	2	5	0.00247
Janthinobacterium	29580	G	2	2	4	0.00165
Collimonas	202907	G	2	0	2	0.00120
Massilia	149698	G	1	1	2	0.00088
Undibacterium	401469	G	1	0	1	0.00041
Achromobacter	222	G	2	10	12	0.00500
Bordetella	517	G	2	9	11	0.00473
Pusillimonas	305976	G	2	1	3	0.00157
Paenalcaligenes	1100891	G	1	0	1	0.00054
Acidovorax	12916	G	1	4	5	0.00237
Variovorax	34072	G	1	0	1	0.00071
Hydrogenophaga	47420	G	1	0	1	0.00056
Polaromonas	52972	G	1	0	1	0.00077
Serpentinomonas	2490452	G	1	1	2	0.00090
Limnohabitans	665874	G	1	0	1	0.00065
Rubrivivax	28067	G	1	1	2	0.00097
Inhella	644355	G	1	0	1	0.00080
Methylobacillus	404	G	3	6	9	0.00381
Methylovorus	81682	G	3	0	3	0.00156
Methylotenera	359407	G	1	0	1	0.00057
Sulfuriferula	1778653	G	1	2	3	0.00144
Nitrosomonas	914	G	1	0	1	0.00046
Neisseria	482	G	5	0	5	0.00248
Aquitalea	407217	G	2	1	3	0.00154
Geobacter	28231	G	2	0	2	0.00099
Corallococcus	83461	G	1	0	1	0.00043
Desulfoglaeba	361106	G	1	0	1	0.00043
Campylobacter	194	G	1	0	1	0.00044
Acidithiobacillus	119977	G	1	0	1	0.00045
Arthrobacter	1663	G	1	0	1	0.00050
Kocuria	57493	G	1	0	1	0.00041
Jonesia	43673	G	1	0	1	0.00053
Microbacterium	33882	G	1	0	1	0.00057
Streptomyces	1883	G	4	1	5	0.00218
Rhodococcus	1827	G	1	1	2	0.00090
Corynebacterium	1716	G	1	0	1	0.00048
Saccharomonospora	1851	G	1	0	1	0.00046
Actinosynnema	40566	G	1	0	1	0.00041
Frankia	1854	G	1	1	2	0.00097
Micromonospora	1873	G	1	0	1	0.00053
Microlunatus	29404	G	1	0	1	0.00044
Nakamurella	53460	G	1	0	1	0.00048
Prochlorococcus	1218	G	10	2	12	0.00500
Dolichospermum	748770	G	1	0	1	0.00064
Lentibacillus	175304	G	1	1	2	0.00085
Bacillus	1386	G	1	0	1	0.00041
Tepidanaerobacter	499228	G	1	0	1	0.00046
Roseburia	841	G	1	1	2	0.00093
Faecalitalea	1573534	G	1	6	7	0.00311
Echinicola	390846	G	1	0	1	0.00042
Chryseolinea	1433993	G	1	0	1	0.00042
Rhodothermus	29548	G	1	0	1	0.00044
Salinibacter	146918	G	1	0	1	0.00042
Bacteroides	816	G	1	0	1	0.00051
Haliscomenobacter	2349	G	1	0	1	0.00042
Fibrobacter	832	G	1	0	1	0.00042
Bythopirellula	1400386	G	2	0	2	0.00083
Planctopirus	1649480	G	1	1	2	0.00083
Luteolibacter	518753	G	1	0	1	0.00041
Spirochaeta	146	G	1	0	1	0.00044
Salinispira	1616789	G	1	0	1	0.00042
Fusobacterium	848	G	1	0	1	0.00048
Terriglobus	392733	G	1	0	1	0.00042
Thermosulfuriphilus	2033601	G	1	0	1	0.00042
Halohasta	1450140	G	1	0	1	0.00041
Homo	9605	G	1	0	1	0.00042
