name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	11057	839	11896	0.83954
Marinobacter	2742	G	39	5	44	0.00311
Lacimicrobium	1751872	G	2	0	2	0.00014
Shewanella	22	G	10	2	12	0.00089
Pseudoalteromonas	53246	G	2	0	2	0.00015
Psychromonas	67572	G	1	0	1	0.00008
Pseudomonas	286	G	58	12	70	0.00497
Acinetobacter	469	G	4	0	4	0.00031
Methylophaga	40222	G	35	11	46	0.00330
Thiomicrorhabdus	2039723	G	3	0	3	0.00022
Hydrogenovibrio	28884	G	2	0	2	0.00015
Beggiatoa	1021	G	1	0	1	0.00008
Cronobacter	413496	G	2	0	2	0.00014
Enterobacter	547	G	1	0	1	0.00007
Limnobaculum	2172100	G	1	1	2	0.00016
Kluyvera	579	G	1	2	3	0.00025
Klebsiella	570	G	1	0	1	0.00007
Escherichia	561	G	1	16	17	0.00122
Dickeya	204037	G	3	1	4	0.00035
Brenneria	71655	G	1	0	1	0.00014
Serratia	613	G	4	3	7	0.00052
Morganella	581	G	1	1	2	0.00019
Providencia	586	G	1	0	1	0.00009
Photorhabdus	29487	G	1	0	1	0.00008
Halomonas	2745	G	6	1	7	0.00050
Salinicola	404432	G	1	0	1	0.00010
Alcanivorax	59753	G	2	0	2	0.00020
Ketobacter	2025617	G	1	1	2	0.00015
Kangiella	261963	G	1	0	1	0.00008
Lysobacter	68	G	3	0	3	0.00028
Xanthomonas	338	G	3	0	3	0.00026
Thermomonas	141948	G	2	1	3	0.00024
Luteimonas	83614	G	1	0	1	0.00012
Dyella	231454	G	1	0	1	0.00008
Dokdonella	323413	G	1	0	1	0.00008
Sulfuriflexus	1860077	G	3	0	3	0.00024
Nitrosococcus	1227	G	2	0	2	0.00015
Spiribacter	1335745	G	1	0	1	0.00007
Halothiobacillus	109262	G	1	0	1	0.00013
Thiohalobacter	1273155	G	1	1	2	0.00020
Microbulbifer	48073	G	3	0	3	0.00022
Cellvibrio	10	G	2	0	2	0.00015
Kineobactrum	2678529	G	1	0	1	0.00007
Oceanicoccus	1084558	G	1	0	1	0.00007
Vibrio	662	G	4	0	4	0.00029
Photobacterium	657	G	1	0	1	0.00007
Salinivibrio	51366	G	1	0	1	0.00007
Methylomicrobium	39773	G	2	0	2	0.00019
Methylococcus	413	G	1	0	1	0.00009
Methylomonas	416	G	1	0	1	0.00007
Aeromonas	642	G	1	0	1	0.00008
Oceanimonas	129577	G	1	0	1	0.00011
Zobellella	347533	G	1	0	1	0.00011
Haemophilus	724	G	1	0	1	0.00009
Rodentibacter	1960084	G	1	0	1	0.00008
Basfia	697331	G	1	2	3	0.00022
Maricaulis	74317	G	272	265	537	0.03793
Glycocaulis	1433402	G	37	24	61	0.00432
Hyphomonas	85	G	10	2	12	0.00090
Hirschia	2723	G	1	0	1	0.00009
Labrenzia	478070	G	10	3	13	0.00096
Ruegeria	97050	G	9	8	17	0.00126
Roseovarius	74030	G	7	7	14	0.00102
Paracoccus	265	G	6	46	52	0.00368
Sulfitobacter	60136	G	6	6	12	0.00091
Stappia	152161	G	4	10	14	0.00101
Leisingera	191028	G	4	8	12	0.00087
Roseobacter	2433	G	4	0	4	0.00034
Phaeobacter	302485	G	3	2	5	0.00038
Celeribacter	875170	G	3	13	16	0.00115
Rhodovulum	34008	G	3	1	4	0.00031
Halovulum	1844498	G	3	2	5	0.00035
Parasedimentitalea	2738399	G	2	1	3	0.00021
Paraoceanicella	2683599	G	2	5	7	0.00051
Haematobacter	366614	G	2	32	34	0.00245
Brevirhabdus	1855413	G	2	7	9	0.00070
Octadecabacter	53945	G	2	6	8	0.00060
Dinoroseobacter	309512	G	1	3	4	0.00033
Pseudohalocynthiibacter	1759417	G	1	1	2	0.00018
Marivivens	1759396	G	1	2	3	0.00028
Epibacterium	1649279	G	1	3	4	0.00028
Defluviimonas	1097466	G	1	7	8	0.00060
Silicimonas	1955420	G	1	0	1	0.00010
Maribius	387095	G	1	0	1	0.00010
Marinovum	367771	G	1	2	3	0.00027
Monaibacterium	2029873	G	1	1	2	0.00019
Yoonia	2211641	G	1	1	2	0.00019
Rhodobacter	1060	G	1	1	2	0.00015
Thioclava	285107	G	1	1	2	0.00021
Rhodobaca	119541	G	1	0	1	0.00011
Roseibacterium	159345	G	1	0	1	0.00012
Pseudorhodobacter	238783	G	1	0	1	0.00011
Rhizobium	379	G	12	14	26	0.00186
Agrobacterium	357	G	7	13	20	0.00146
Neorhizobium	1525371	G	1	1	2	0.00019
Sinorhizobium	28105	G	5	31	36	0.00258
Ensifer	106591	G	3	11	14	0.00106
Shinella	323620	G	2	29	31	0.00224
Georhizobium	2661800	G	1	5	6	0.00046
Bradyrhizobium	374	G	22	19	41	0.00295
Rhodopseudomonas	1073	G	2	6	8	0.00058
Bosea	85413	G	2	5	7	0.00055
Nitrobacter	911	G	1	0	1	0.00014
Tardiphaga	1395974	G	1	0	1	0.00007
Variibacter	1649510	G	1	0	1	0.00014
Mesorhizobium	68287	G	10	21	31	0.00221
Phyllobacterium	28100	G	3	5	8	0.00061
Hoeflea	274591	G	3	3	6	0.00049
Roseitalea	1915401	G	1	2	3	0.00024
Salaquimonas	2712688	G	1	0	1	0.00011
Devosia	46913	G	4	3	7	0.00050
Hyphomicrobium	81	G	1	0	1	0.00010
Rhodomicrobium	1068	G	1	0	1	0.00012
Filomicrobium	119044	G	1	0	1	0.00009
Maritalea	623276	G	1	0	1	0.00010
Youhaiella	1827478	G	1	1	2	0.00020
Methylobacterium	407	G	7	3	10	0.00075
Microvirga	186650	G	1	2	3	0.00022
Methylorubrum	2282523	G	1	6	7	0.00051
Candidatus Phaeomarinobacter	1541445	G	4	1	5	0.00038
Pyruvatibacter	1742974	G	3	5	8	0.00061
Methylocystis	133	G	4	4	8	0.00061
Terasakiella	196080	G	2	0	2	0.00018
Methylosinus	425	G	1	1	2	0.00019
Labrys	204476	G	3	3	6	0.00049
Pseudolabrys	556257	G	3	7	10	0.00077
Azorhizobium	6	G	1	2	3	0.00024
Cohaesibacter	655352	G	4	16	20	0.00142
Methylocella	120652	G	1	1	2	0.00016
Ochrobactrum	528	G	3	18	21	0.00155
Bartonella	773	G	2	2	4	0.00030
Methyloceanibacter	1484898	G	1	1	2	0.00018
Martelella	293088	G	1	2	3	0.00027
Chelatococcus	28209	G	1	3	4	0.00032
Sphingomonas	13687	G	16	15	31	0.00225
Sphingopyxis	165697	G	8	29	37	0.00264
Novosphingobium	165696	G	6	5	11	0.00084
Sphingobium	165695	G	5	15	20	0.00143
Parasphingopyxis	1234545	G	3	1	4	0.00028
Sphingosinicella	335405	G	2	0	2	0.00021
Tardibacter	2685927	G	2	25	27	0.00194
Zymomonas	541	G	1	0	1	0.00011
Citromicrobium	72173	G	1	2	3	0.00028
Blastomonas	150203	G	1	0	1	0.00007
Sphingosinithalassobacter	2676233	G	1	3	4	0.00029
Erythrobacter	1041	G	8	8	16	0.00119
Altererythrobacter	361177	G	3	2	5	0.00042
Porphyrobacter	1111	G	1	5	6	0.00043
Brevundimonas	41275	G	24	35	59	0.00423
Caulobacter	75	G	12	17	29	0.00207
Phenylobacterium	20	G	2	9	11	0.00079
Asticcacaulis	76890	G	2	2	4	0.00030
Azospirillum	191	G	7	11	18	0.00129
Thalassospira	168934	G	6	15	21	0.00149
Magnetospirillum	13134	G	3	3	6	0.00043
Rhodospirillum	1081	G	2	2	4	0.00030
Skermanella	204447	G	2	2	4	0.00032
Indioceanicola	2478349	G	2	2	4	0.00033
Hypericibacter	2705399	G	2	4	6	0.00046
Niveispirillum	1543704	G	1	2	3	0.00026
Nitrospirillum	1543705	G	1	1	2	0.00017
Acetobacter	434	G	5	1	6	0.00046
Komagataeibacter	1434011	G	3	4	7	0.00051
Stella	93	G	2	2	4	0.00031
Gluconobacter	441	G	1	0	1	0.00007
Gluconacetobacter	89583	G	1	1	2	0.00017
Asaia	91914	G	1	0	1	0.00013
Roseomonas	125216	G	1	0	1	0.00007
Neokomagataea	1223423	G	1	1	2	0.00015
Polymorphum	991903	G	2	18	20	0.00143
Phreatobacter	1632780	G	2	4	6	0.00047
Parvularcula	208215	G	1	0	1	0.00011
Emcibacter	1602338	G	1	0	1	0.00010
Burkholderia	32008	G	4	5	9	0.00069
Cupriavidus	106589	G	4	12	16	0.00117
Paraburkholderia	1822464	G	3	3	6	0.00045
Ralstonia	48736	G	2	0	2	0.00014
Herminiimonas	303379	G	2	0	2	0.00020
Oxalobacter	846	G	1	0	1	0.00008
Janthinobacterium	29580	G	1	0	1	0.00007
Duganella	75654	G	1	0	1	0.00013
Collimonas	202907	G	1	0	1	0.00011
Achromobacter	222	G	3	3	6	0.00048
Bordetella	517	G	2	0	2	0.00019
Alcaligenes	507	G	1	0	1	0.00013
Acidovorax	12916	G	2	2	4	0.00030
Rhodoferax	28065	G	1	0	1	0.00010
Hydrogenophaga	47420	G	1	0	1	0.00009
Rubrivivax	28067	G	1	0	1	0.00012
Sulfuriferula	1778653	G	3	1	4	0.00031
Nitrosomonas	914	G	3	2	5	0.00038
Methylovorus	81682	G	1	0	1	0.00009
Methyloversatilis	378210	G	1	0	1	0.00009
Azoarcus	12960	G	5	1	6	0.00045
Thauera	33057	G	1	0	1	0.00013
Dechloromonas	73029	G	2	0	2	0.00017
Azospira	146937	G	1	1	2	0.00018
Vogesella	57739	G	1	1	2	0.00015
Aquitalea	407217	G	1	1	2	0.00017
Neisseria	482	G	1	0	1	0.00007
Melittangium	44	G	2	1	3	0.00022
Sorangium	39643	G	2	0	2	0.00014
Chondromyces	50	G	1	0	1	0.00007
Pseudodesulfovibrio	2035811	G	2	0	2	0.00015
Desulfosarcina	2299	G	1	1	2	0.00020
Acidithiobacillus	119977	G	3	0	3	0.00025
Mariprofundus	377315	G	1	0	1	0.00007
Streptomyces	1883	G	13	2	15	0.00109
Pseudarthrobacter	1742993	G	2	1	3	0.00024
Arthrobacter	1663	G	1	0	1	0.00011
Brachybacterium	43668	G	2	0	2	0.00017
Ornithinimicrobium	125287	G	1	0	1	0.00009
Serinicoccus	265976	G	1	0	1	0.00010
Microbacterium	33882	G	1	0	1	0.00007
Rathayibacter	33886	G	1	0	1	0.00008
Cellulomonas	1707	G	1	0	1	0.00013
Mycolicibacterium	1866885	G	2	2	4	0.00032
Corynebacterium	1716	G	2	1	3	0.00023
Actinoplanes	1865	G	4	0	4	0.00033
Micromonospora	1873	G	1	0	1	0.00009
Propioniciclava	1085622	G	2	1	3	0.00022
Acidipropionibacterium	1912215	G	1	0	1	0.00011
Aeromicrobium	2040	G	1	0	1	0.00008
Friedmanniella	53387	G	1	0	1	0.00009
Amycolatopsis	1813	G	1	0	1	0.00009
Pseudonocardia	1847	G	1	0	1	0.00009
Saccharothrix	2071	G	1	0	1	0.00009
Actinomadura	1988	G	3	2	5	0.00035
Actinomyces	1654	G	1	0	1	0.00009
Collinsella	102106	G	1	1	2	0.00020
Prochlorococcus	1218	G	60	0	60	0.00430
Synechococcus	1129	G	1	0	1	0.00007
Paenibacillus	44249	G	3	1	4	0.00028
Aneurinibacillus	55079	G	1	1	2	0.00015
Hungatella	1649459	G	1	0	1	0.00007
Thermoclostridium	2304691	G	1	0	1	0.00007
Acidaminococcus	904	G	1	0	1	0.00008
Marinithermus	186191	G	1	0	1	0.00007
Gramella	292691	G	1	0	1	0.00007
Arenibacter	178469	G	1	0	1	0.00007
Spirosoma	107	G	1	0	1	0.00007
Hymenobacter	89966	G	1	0	1	0.00007
Salinibacter	146918	G	1	0	1	0.00007
Mucilaginibacter	423349	G	1	0	1	0.00007
Melioribacter	1134403	G	1	3	4	0.00028
Verrucomicrobium	2735	G	1	0	1	0.00007
Terriglobus	392733	G	1	0	1	0.00007
Spirochaeta	146	G	1	0	1	0.00007
Halobacterium	2239	G	1	0	1	0.00007
Halorubrum	56688	G	1	0	1	0.00007
Salinarchaeum	1269201	G	1	0	1	0.00007
Homo	9605	G	3	0	3	0.00021
Begomovirus	10814	G	1	0	1	0.00007
