name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	2722	2208	4930	0.15016
Glycocaulis	1433402	G	267	160	427	0.01303
Hyphomonas	85	G	141	52	193	0.00590
Hirschia	2723	G	5	0	5	0.00018
Labrenzia	478070	G	108	54	162	0.00496
Paracoccus	265	G	58	153	211	0.00643
Sulfitobacter	60136	G	57	110	167	0.00510
Phaeobacter	302485	G	47	179	226	0.00689
Ruegeria	97050	G	31	30	61	0.00188
Rhodobacter	1060	G	30	70	100	0.00307
Roseovarius	74030	G	26	30	56	0.00172
Stappia	152161	G	21	45	66	0.00202
Monaibacterium	2029873	G	19	34	53	0.00163
Octadecabacter	53945	G	19	11	30	0.00093
Rhodovulum	34008	G	18	16	34	0.00104
Roseivivax	93682	G	18	8	26	0.00080
Leisingera	191028	G	15	25	40	0.00125
Celeribacter	875170	G	15	54	69	0.00212
Boseongicola	1648497	G	13	2	15	0.00047
Pseudovibrio	258255	G	13	10	23	0.00073
Dinoroseobacter	309512	G	13	51	64	0.00197
Roseobacter	2433	G	12	2	14	0.00044
Thioclava	285107	G	12	21	33	0.00102
Halovulum	1844498	G	11	6	17	0.00055
Pannonibacter	227873	G	9	183	192	0.00586
Parasedimentitalea	2738399	G	9	3	12	0.00039
Silicimonas	1955420	G	9	3	12	0.00038
Jannaschia	188905	G	8	1	9	0.00028
Tabrizicola	1443919	G	7	5	12	0.00037
Marinovum	367771	G	7	21	28	0.00088
Confluentimicrobium	1609958	G	6	31	37	0.00114
Paraoceanicella	2683599	G	6	14	20	0.00062
Yangia	354203	G	6	5	11	0.00036
Brevirhabdus	1855413	G	6	26	32	0.00098
Haematobacter	366614	G	6	67	73	0.00225
Thalassococcus	436357	G	6	1	7	0.00022
Pseudorhodobacter	238783	G	6	3	9	0.00028
Epibacterium	1649279	G	5	19	24	0.00075
Antarctobacter	74032	G	5	1	6	0.00021
Pelagibaca	360528	G	5	25	30	0.00094
Yoonia	2211641	G	5	9	14	0.00045
Roseibacterium	159345	G	5	3	8	0.00025
Maribius	387095	G	4	1	5	0.00017
Defluviimonas	1097466	G	4	24	28	0.00085
Pseudohalocynthiibacter	1759417	G	4	6	10	0.00032
Marivivens	1759396	G	3	9	12	0.00039
Gemmobacter	204456	G	3	6	9	0.00029
Tateyamaria	299261	G	3	0	3	0.00011
Sagittula	58842	G	3	15	18	0.00056
Litoreibacter	947567	G	3	1	4	0.00013
Ketogulonicigenium	92944	G	3	4	7	0.00022
Rhodobaca	119541	G	3	1	4	0.00013
Salipiger	263377	G	3	14	17	0.00055
Planktomarina	1284657	G	1	0	1	0.00004
Oceanicola	252301	G	1	0	1	0.00004
Thalassobius	335927	G	1	0	1	0.00005
Rhizobium	379	G	147	214	361	0.01100
Agrobacterium	357	G	44	117	161	0.00492
Neorhizobium	1525371	G	12	23	35	0.00108
Sinorhizobium	28105	G	45	100	145	0.00444
Ensifer	106591	G	17	42	59	0.00181
Georhizobium	2661800	G	15	71	86	0.00262
Shinella	323620	G	6	68	74	0.00227
Bradyrhizobium	374	G	152	133	285	0.00868
Bosea	85413	G	55	72	127	0.00389
Rhodopseudomonas	1073	G	27	66	93	0.00285
Variibacter	1649510	G	16	13	29	0.00088
Tardiphaga	1395974	G	6	0	6	0.00018
Nitrobacter	911	G	4	5	9	0.00030
Oligotropha	40136	G	2	2	4	0.00013
Mesorhizobium	68287	G	151	260	411	0.01255
Hoeflea	274591	G	19	16	35	0.00109
Salaquimonas	2712688	G	16	7	23	0.00072
Aminobacter	31988	G	15	76	91	0.00278
Chelativorans	449972	G	10	15	25	0.00079
Roseitalea	1915401	G	10	17	27	0.00085
Nitratireductor	245876	G	8	13	21	0.00065
Phyllobacterium	28100	G	7	11	18	0.00058
Oricola	1594166	G	5	8	13	0.00041
Devosia	46913	G	56	44	100	0.00307
Hyphomicrobium	81	G	22	20	42	0.00128
Blastochloris	59282	G	10	18	28	0.00086
Rhodomicrobium	1068	G	7	4	11	0.00034
Youhaiella	1827478	G	7	9	16	0.00049
Filomicrobium	119044	G	4	0	4	0.00015
Rhodoplanes	29407	G	3	3	6	0.00021
Maritalea	623276	G	3	1	4	0.00013
Pelagibacterium	1082930	G	3	6	9	0.00029
Methylobacterium	407	G	55	53	108	0.00331
Microvirga	186650	G	16	23	39	0.00119
Methylorubrum	2282523	G	15	72	87	0.00267
Pyruvatibacter	1742974	G	32	31	63	0.00192
Candidatus Phaeomarinobacter	1541445	G	20	8	28	0.00087
Parvibaculum	256616	G	14	243	257	0.00784
Methylocystis	133	G	20	17	37	0.00114
Terasakiella	196080	G	18	4	22	0.00068
Methylosinus	425	G	15	28	43	0.00133
Pseudolabrys	556257	G	13	28	41	0.00126
Ancylobacter	99	G	12	40	52	0.00159
Starkeya	152053	G	10	22	32	0.00098
Azorhizobium	6	G	7	15	22	0.00068
Labrys	204476	G	7	8	15	0.00046
Xanthobacter	279	G	3	26	29	0.00090
Ochrobactrum	528	G	25	154	179	0.00545
Brucella	234	G	19	28	47	0.00146
Methyloceanibacter	1484898	G	13	8	21	0.00066
Nordella	169055	G	11	6	17	0.00052
Methyloligella	1485594	G	7	8	15	0.00046
Hartmannibacter	1572860	G	5	12	17	0.00052
Martelella	293088	G	22	112	134	0.00409
Aureimonas	414371	G	8	12	20	0.00062
Cohaesibacter	655352	G	21	11	32	0.00099
Breoghania	1406135	G	5	8	13	0.00041
Methylocella	120652	G	8	37	45	0.00140
Methylovirgula	1156568	G	2	2	4	0.00014
Beijerinckia	532	G	1	0	1	0.00006
Chelatococcus	28209	G	12	27	39	0.00119
Lichenihabitans	2723776	G	6	6	12	0.00037
Bartonella	773	G	5	6	11	0.00035
Sphingomonas	13687	G	173	308	481	0.01467
Sphingobium	165695	G	76	391	467	0.01424
Sphingopyxis	165697	G	54	178	232	0.00708
Novosphingobium	165696	G	46	53	99	0.00302
Sphingorhabdus	1434046	G	46	9	55	0.00170
Parasphingopyxis	1234545	G	13	3	16	0.00050
Sphingosinicella	335405	G	9	3	12	0.00039
Zymomonas	541	G	4	6	10	0.00030
Tardibacter	2685927	G	4	42	46	0.00141
Sphingosinithalassobacter	2676233	G	3	9	12	0.00038
Citromicrobium	72173	G	2	6	8	0.00025
Blastomonas	150203	G	2	0	2	0.00006
Rhizorhabdus	1649486	G	1	5	6	0.00021
Erythrobacter	1041	G	69	78	147	0.00450
Altererythrobacter	361177	G	50	58	108	0.00329
Porphyrobacter	1111	G	11	14	25	0.00078
Croceicoccus	1295327	G	5	24	29	0.00089
Caulobacter	75	G	214	221	435	0.01325
Brevundimonas	41275	G	211	359	570	0.01737
Asticcacaulis	76890	G	58	96	154	0.00471
Phenylobacterium	20	G	18	46	64	0.00195
Azospirillum	191	G	63	85	148	0.00451
Tistrella	171436	G	26	231	257	0.00783
Thalassospira	168934	G	24	50	74	0.00228
Rhodospirillum	1081	G	23	15	38	0.00119
Magnetospirillum	13134	G	23	2252	2275	0.06929
Skermanella	204447	G	15	13	28	0.00088
Indioceanicola	2478349	G	13	12	25	0.00079
Magnetospira	1182780	G	10	3	13	0.00040
Ferrovibrio	1231242	G	10	7	17	0.00053
Niveispirillum	1543704	G	7	13	20	0.00062
Hypericibacter	2705399	G	7	6	13	0.00042
Pararhodospirillum	1612157	G	6	12	18	0.00056
Nitrospirillum	1543705	G	4	4	8	0.00025
Haematospirillum	1804663	G	2	1	3	0.00010
Candidatus Endolissoclinum	1263978	G	1	0	1	0.00003
Komagataeibacter	1434011	G	36	33	69	0.00211
Acetobacter	434	G	32	11	43	0.00131
Gluconobacter	441	G	21	15	36	0.00111
Stella	93	G	9	5	14	0.00046
Roseomonas	125216	G	8	14	22	0.00068
Gluconacetobacter	89583	G	7	6	13	0.00040
Asaia	91914	G	7	4	11	0.00036
Granulibacter	364409	G	4	2	6	0.00018
Acidibrevibacterium	2603324	G	3	3	6	0.00020
Acidiphilium	522	G	3	2	5	0.00015
Neokomagataea	1223423	G	1	0	1	0.00006
Kozakia	153497	G	1	1	2	0.00006
Parasaccharibacter	1602345	G	1	0	1	0.00005
Swingsia	1649499	G	1	0	1	0.00004
Phreatobacter	1632780	G	24	57	81	0.00248
Micavibrio	213485	G	13	1	14	0.00044
Polymorphum	991903	G	4	25	29	0.00089
Candidatus Puniceispirillum	767891	G	2	1	3	0.00011
Parvularcula	208215	G	18	7	25	0.00078
Emcibacter	1602338	G	13	7	20	0.00063
Anaplasma	768	G	1	0	1	0.00003
Wolbachia	953	G	1	0	1	0.00003
Candidatus Paracaedibacter	1521255	G	1	0	1	0.00003
Candidatus Nucleicultrix	1509243	G	1	0	1	0.00004
Candidatus Pelagibacter	198251	G	1	0	1	0.00003
Alteromonas	226	G	6487	2249	8736	0.26606
Marinobacter	2742	G	105	77	182	0.00555
Salinimonas	288793	G	2	0	2	0.00009
Lacimicrobium	1751872	G	2	0	2	0.00007
Hydrocarboniclastica	2650549	G	1	0	1	0.00005
Saliniradius	2661818	G	1	0	1	0.00004
Shewanella	22	G	32	15	47	0.00146
Parashewanella	2547964	G	1	0	1	0.00004
Pseudoalteromonas	53246	G	6	1	7	0.00022
Colwellia	28228	G	3	0	3	0.00011
Thalassotalea	1518149	G	1	0	1	0.00004
Idiomarina	135575	G	4	5	9	0.00028
Moritella	58050	G	2	0	2	0.00008
Ferrimonas	44011	G	1	0	1	0.00004
Psychromonas	67572	G	1	0	1	0.00005
Pseudomonas	286	G	371	314	685	0.02088
Permianibacter	1649479	G	3	0	3	0.00010
Azotobacter	352	G	1	0	1	0.00006
Acinetobacter	469	G	21	19	40	0.00123
Moraxella	475	G	6	4	10	0.00032
Psychrobacter	497	G	1	1	2	0.00007
Enterobacter	547	G	16	99	115	0.00352
Klebsiella	570	G	16	126	142	0.00434
