name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	4297	2218	6515	0.14595
Glycocaulis	1433402	G	441	182	623	0.01397
Hyphomonas	85	G	217	54	271	0.00608
Hirschia	2723	G	5	0	5	0.00013
Labrenzia	478070	G	148	37	185	0.00416
Paracoccus	265	G	91	125	216	0.00484
Sulfitobacter	60136	G	79	126	205	0.00460
Phaeobacter	302485	G	75	110	185	0.00416
Ruegeria	97050	G	62	47	109	0.00246
Rhodobacter	1060	G	48	81	129	0.00289
Roseovarius	74030	G	44	174	218	0.00489
Stappia	152161	G	37	38	75	0.00168
Octadecabacter	53945	G	34	13	47	0.00107
Celeribacter	875170	G	34	119	153	0.00344
Leisingera	191028	G	34	56	90	0.00202
Boseongicola	1648497	G	27	3	30	0.00068
Roseivivax	93682	G	26	17	43	0.00098
Rhodovulum	34008	G	25	20	45	0.00101
Dinoroseobacter	309512	G	21	79	100	0.00225
Pannonibacter	227873	G	16	171	187	0.00421
Pseudovibrio	258255	G	16	7	23	0.00052
Thioclava	285107	G	16	20	36	0.00082
Monaibacterium	2029873	G	16	27	43	0.00097
Brevirhabdus	1855413	G	14	54	68	0.00154
Pseudorhodobacter	238783	G	13	5	18	0.00041
Ketogulonicigenium	92944	G	13	10	23	0.00052
Yangia	354203	G	13	9	22	0.00050
Roseobacter	2433	G	12	1	13	0.00030
Paraoceanicella	2683599	G	12	22	34	0.00077
Halovulum	1844498	G	12	6	18	0.00040
Planktomarina	1284657	G	11	1	12	0.00029
Gemmobacter	204456	G	10	19	29	0.00065
Sagittula	58842	G	10	48	58	0.00131
Thalassococcus	436357	G	8	1	9	0.00021
Pelagibaca	360528	G	8	31	39	0.00089
Tabrizicola	1443919	G	8	3	11	0.00027
Epibacterium	1649279	G	8	25	33	0.00075
Yoonia	2211641	G	8	15	23	0.00053
Silicimonas	1955420	G	7	1	8	0.00020
Marinovum	367771	G	7	20	27	0.00062
Pseudohalocynthiibacter	1759417	G	7	10	17	0.00038
Haematobacter	366614	G	6	32	38	0.00087
Litoreibacter	947567	G	6	1	7	0.00018
Rhodobaca	119541	G	6	1	7	0.00017
Tateyamaria	299261	G	6	1	7	0.00016
Parasedimentitalea	2738399	G	6	1	7	0.00018
Roseibacterium	159345	G	4	1	5	0.00013
Confluentimicrobium	1609958	G	4	19	23	0.00052
Mameliella	1434019	G	4	6	10	0.00025
Thalassobius	335927	G	4	1	5	0.00013
Marivivens	1759396	G	3	9	12	0.00028
Defluviimonas	1097466	G	3	10	13	0.00031
Antarctobacter	74032	G	3	0	3	0.00009
Maribius	387095	G	3	0	3	0.00009
Jannaschia	188905	G	3	0	3	0.00007
Oceanicola	252301	G	2	0	2	0.00006
Salipiger	263377	G	1	4	5	0.00012
Rhizobium	379	G	233	263	496	0.01113
Agrobacterium	357	G	89	217	306	0.00687
Neorhizobium	1525371	G	17	21	38	0.00086
Sinorhizobium	28105	G	84	220	304	0.00683
