model_name , gamma_n_p,gamma_c_p,gamma_n_a,gamma_c_a,gamma_refractory_n_p,gamma_refractory_c_p,gamma_refractory_n_a,gamma_refractory_c_a,excretion_n_p,excretion_c_p,excretion_n_a,excretion_c_a
gamma_model_0 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
gamma_model_1 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1
gamma_model_2 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5
gamma_model_3 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1
gamma_model_4 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.5
gamma_model_5 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5
gamma_model_6 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1
gamma_model_7 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.5
gamma_model_8 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.5,0.5
gamma_model_9 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5
gamma_model_10 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1
gamma_model_11 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5
gamma_model_12 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.5,0.5
gamma_model_13 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.5,0.5,0.5
gamma_model_14 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5
gamma_model_15 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1
gamma_model_16 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.5
