name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	969	341	1310	0.43208
Marinobacter	2742	G	38	40	78	0.02573
Salinimonas	288793	G	1	0	1	0.00033
Saliniradius	2661818	G	1	0	1	0.00045
Shewanella	22	G	8	1	9	0.00329
Pseudoalteromonas	53246	G	3	1	4	0.00163
Idiomarina	135575	G	3	0	3	0.00115
Thalassotalea	1518149	G	1	1	2	0.00077
Ferrimonas	44011	G	1	0	1	0.00056
Pseudomonas	286	G	83	70	153	0.05052
Acinetobacter	469	G	6	2	8	0.00268
Methylophaga	40222	G	58	109	167	0.05530
Thiomicrorhabdus	2039723	G	2	0	2	0.00077
Hydrogenovibrio	28884	G	1	0	1	0.00060
Thioploca	40751	G	1	0	1	0.00035
Enterobacter	547	G	3	4	7	0.00235
Klebsiella	570	G	2	46	48	0.01585
Cronobacter	413496	G	2	6	8	0.00274
Citrobacter	544	G	1	0	1	0.00033
Kluyvera	579	G	1	3	4	0.00162
Salmonella	590	G	1	5	6	0.00218
Lelliottia	1330545	G	1	1	2	0.00082
Cedecea	158483	G	1	1	2	0.00076
Serratia	613	G	3	10	13	0.00429
Yersinia	629	G	3	1	4	0.00138
Rouxiella	1565532	G	2	1	3	0.00116
Pantoea	53335	G	6	3	9	0.00327
Erwinia	551	G	1	0	1	0.00033
Plesiomonas	702	G	1	2	3	0.00101
Phytobacter	447792	G	1	18	19	0.00653
Dickeya	204037	G	2	1	3	0.00129
Proteus	583	G	1	5	6	0.00220
Photorhabdus	29487	G	1	0	1	0.00045
Halomonas	2745	G	8	8	16	0.00531
Kushneria	504090	G	1	0	1	0.00054
Marinobacterium	48075	G	2	0	2	0.00095
Alcanivorax	59753	G	1	0	1	0.00033
Ketobacter	2025617	G	1	2	3	0.00122
Hahella	158481	G	1	0	1	0.00044
Kangiella	261963	G	1	0	1	0.00048
Thiocystis	13724	G	2	0	2	0.00083
Nitrosococcus	1227	G	1	0	1	0.00037
Rheinheimera	67575	G	1	0	1	0.00047
Marichromatium	85076	G	1	0	1	0.00054
Thioalkalivibrio	106633	G	1	0	1	0.00045
Alkalilimnicola	133193	G	1	0	1	0.00047
Spiribacter	1335745	G	1	0	1	0.00039
Sulfuriflexus	1860077	G	2	0	2	0.00074
Granulosicoccus	437504	G	1	0	1	0.00036
Sulfurivermis	2034504	G	3	25	28	0.00945
Halothiobacillus	109262	G	1	0	1	0.00056
Wenzhouxiangella	1676142	G	1	0	1	0.00043
Xanthomonas	338	G	6	18	24	0.00816
Lysobacter	68	G	2	1	3	0.00107
Pseudolysobacter	2709666	G	2	0	2	0.00073
Stenotrophomonas	40323	G	1	0	1	0.00033
Luteimonas	83614	G	1	0	1	0.00065
Thermomonas	141948	G	1	0	1	0.00056
Cellvibrio	10	G	4	0	4	0.00162
Saccharophagus	316625	G	2	0	2	0.00076
Teredinibacter	2425	G	1	0	1	0.00039
Microbulbifer	48073	G	4	1	5	0.00188
Halioglobus	1217416	G	2	0	2	0.00076
Methylomonas	416	G	3	1	4	0.00161
Methylomicrobium	39773	G	2	0	2	0.00078
Candidatus Methylospira	1808977	G	1	0	1	0.00049
Vibrio	662	G	6	3	9	0.00323
Photobacterium	657	G	1	0	1	0.00051
Aeromonas	642	G	5	3	8	0.00276
Oceanisphaera	225143	G	1	0	1	0.00060
Legionella	445	G	3	0	3	0.00120
Coxiella	776	G	1	0	1	0.00037
Sedimenticola	349742	G	2	1	3	0.00111
Pseudohongiella	1524249	G	1	0	1	0.00037
Actinobacillus	713	G	1	0	1	0.00033
Gallibacterium	155493	G	1	1	2	0.00086
Aggregatibacter	416916	G	1	3	4	0.00145
Sulfurifustis	1692042	G	1	0	1	0.00040
Maricaulis	74317	G	111	113	224	0.07412
Glycocaulis	1433402	G	8	5	13	0.00461
Hyphomonas	85	G	5	1	6	0.00212
Labrenzia	478070	G	6	4	10	0.00335
Ruegeria	97050	G	3	4	7	0.00245
Paracoccus	265	G	2	6	8	0.00290
Sulfitobacter	60136	G	2	0	2	0.00086
Roseovarius	74030	G	2	0	2	0.00088
Thioclava	285107	G	2	4	6	0.00202
Rhodobacter	1060	G	1	0	1	0.00033
Thalassococcus	436357	G	1	0	1	0.00041
Celeribacter	875170	G	1	2	3	0.00130
Litoreibacter	947567	G	1	0	1	0.00050
Pelagibaca	360528	G	1	5	6	0.00227
Tateyamaria	299261	G	1	0	1	0.00041
Confluentimicrobium	1609958	G	1	5	6	0.00210
Epibacterium	1649279	G	1	3	4	0.00141
Pannonibacter	227873	G	1	28	29	0.00962
Marivivens	1759396	G	1	3	4	0.00140
Halovulum	1844498	G	1	0	1	0.00057
Rhodovulum	34008	G	1	1	2	0.00081
Stappia	152161	G	1	3	4	0.00147
Octadecabacter	53945	G	1	5	6	0.00201
Monaibacterium	2029873	G	1	1	2	0.00093
Paraoceanicella	2683599	G	1	2	3	0.00123
Antarctobacter	74032	G	1	0	1	0.00047
Bradyrhizobium	374	G	16	18	34	0.01149
Rhodopseudomonas	1073	G	3	8	11	0.00392
Bosea	85413	G	1	2	3	0.00102
Rhizobium	379	G	11	6	17	0.00591
Agrobacterium	357	G	1	0	1	0.00033
Neorhizobium	1525371	G	1	2	3	0.00105
Sinorhizobium	28105	G	2	7	9	0.00328
Ensifer	106591	G	2	6	8	0.00274
Georhizobium	2661800	G	1	4	5	0.00166
Mesorhizobium	68287	G	6	19	25	0.00844
Phyllobacterium	28100	G	1	1	2	0.00076
Hoeflea	274591	G	1	1	2	0.00074
Roseitalea	1915401	G	1	1	2	0.00093
Salaquimonas	2712688	G	1	0	1	0.00050
Devosia	46913	G	5	3	8	0.00268
Rhodoplanes	29407	G	1	0	1	0.00063
Pelagibacterium	1082930	G	1	2	3	0.00108
Methylobacterium	407	G	1	0	1	0.00033
Methylorubrum	2282523	G	1	9	10	0.00351
Pyruvatibacter	1742974	G	2	1	3	0.00126
Parvibaculum	256616	G	1	15	16	0.00544
Azorhizobium	6	G	1	1	2	0.00095
Starkeya	152053	G	1	1	2	0.00087
Labrys	204476	G	1	1	2	0.00066
Terasakiella	196080	G	2	0	2	0.00087
Ochrobactrum	528	G	2	4	6	0.00210
Cohaesibacter	655352	G	2	1	3	0.00110
Chelatococcus	28209	G	2	2	4	0.00152
Bartonella	773	G	1	0	1	0.00062
Methyloceanibacter	1484898	G	1	0	1	0.00050
Martelella	293088	G	1	2	3	0.00102
Sphingomonas	13687	G	6	2	8	0.00268
Sphingobium	165695	G	2	8	10	0.00336
Novosphingobium	165696	G	1	0	1	0.00033
