name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	28122	2379	30501	0.79116
Marinobacter	2742	G	62	11	73	0.00191
Glaciecola	89404	G	2	0	2	0.00005
Salinimonas	288793	G	1	0	1	0.00003
Catenovulum	1172191	G	1	0	1	0.00003
Paraglaciecola	1621534	G	1	0	1	0.00003
Hydrocarboniclastica	2650549	G	1	0	1	0.00003
Shewanella	22	G	15	1	16	0.00042
Pseudoalteromonas	53246	G	7	0	7	0.00019
Idiomarina	135575	G	3	1	4	0.00012
Thalassotalea	1518149	G	1	0	1	0.00003
Psychromonas	67572	G	1	0	1	0.00003
Pseudomonas	286	G	164	22	186	0.00485
Permianibacter	1649479	G	2	0	2	0.00005
Acinetobacter	469	G	7	2	9	0.00024
Enterobacter	547	G	7	14	21	0.00055
Klebsiella	570	G	6	14	20	0.00054
Salmonella	590	G	4	4	8	0.00022
Escherichia	561	G	2	29	31	0.00081
Citrobacter	544	G	2	0	2	0.00005
Gibbsiella	929812	G	1	0	1	0.00004
Lelliottia	1330545	G	1	0	1	0.00004
Shimwellia	1335483	G	1	0	1	0.00004
Yokenella	158876	G	1	8	9	0.00025
Limnobaculum	2172100	G	1	0	1	0.00005
Serratia	613	G	5	11	16	0.00043
Yersinia	629	G	2	0	2	0.00005
Nissabacter	1964366	G	1	0	1	0.00005
Pantoea	53335	G	5	2	7	0.00018
Erwinia	551	G	2	0	2	0.00008
Mixta	2100764	G	2	3	5	0.00013
Tatumella	82986	G	1	0	1	0.00004
Morganella	581	G	3	4	7	0.00018
Providencia	586	G	2	2	4	0.00011
Sodalis	84565	G	1	0	1	0.00003
Pectobacterium	122277	G	1	0	1	0.00003
Dickeya	204037	G	1	0	1	0.00003
Hafnia	568	G	1	0	1	0.00003
Obesumbacterium	82982	G	1	2	3	0.00009
Methylophaga	40222	G	68	22	90	0.00236
Hydrogenovibrio	28884	G	2	0	2	0.00005
Thiomicrospira	933	G	1	0	1	0.00003
Thiomicrorhabdus	2039723	G	1	0	1	0.00003
Beggiatoa	1021	G	1	0	1	0.00003
Thioploca	40751	G	1	0	1	0.00003
Francisella	262	G	1	0	1	0.00003
Stenotrophomonas	40323	G	13	10	23	0.00060
Xanthomonas	338	G	11	2	13	0.00036
Lysobacter	68	G	4	1	5	0.00014
Thermomonas	141948	G	4	1	5	0.00015
Luteimonas	83614	G	2	0	2	0.00008
Pseudoxanthomonas	83618	G	1	0	1	0.00005
Arenimonas	490567	G	1	0	1	0.00004
Rhodanobacter	75309	G	3	1	4	0.00013
Dyella	231454	G	3	0	3	0.00009
Ahniella	2233801	G	3	0	3	0.00008
Frateuria	70411	G	2	0	2	0.00008
Dokdonella	323413	G	2	0	2	0.00007
Luteibacter	242605	G	1	0	1	0.00003
Aerosticca	2707020	G	1	6	7	0.00020
Halomonas	2745	G	8	3	11	0.00030
Kushneria	504090	G	3	0	3	0.00008
Chromohalobacter	42054	G	2	0	2	0.00007
Cobetia	204286	G	2	0	2	0.00005
Zymobacter	33073	G	1	0	1	0.00004
Marinobacterium	48075	G	4	0	4	0.00011
Marinomonas	28253	G	1	0	1	0.00003
Neptunomonas	75687	G	1	0	1	0.00003
Nitrincola	267849	G	1	0	1	0.00003
Bacterioplanes	1537406	G	1	0	1	0.00003
Alcanivorax	59753	G	5	2	7	0.00020
