name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylophaga	40222	G	771	1637	2408	0.20908
Thiomicrorhabdus	2039723	G	18	4	22	0.00193
Thiomicrospira	933	G	12	14	26	0.00232
Hydrogenovibrio	28884	G	1	0	1	0.00011
Thioploca	40751	G	2	0	2	0.00018
Marinobacter	2742	G	528	1137	1665	0.14453
Alteromonas	226	G	9	2	11	0.00097
Salinimonas	288793	G	7	7	14	0.00127
Paraglaciecola	1621534	G	6	7	13	0.00118
Saliniradius	2661818	G	6	2	8	0.00076
Glaciecola	89404	G	1	0	1	0.00011
Hydrocarboniclastica	2650549	G	1	0	1	0.00016
Shewanella	22	G	57	63	120	0.01045
Parashewanella	2547964	G	2	0	2	0.00025
Pseudoalteromonas	53246	G	25	15	40	0.00354
Idiomarina	135575	G	6	6	12	0.00112
Colwellia	28228	G	5	1	6	0.00060
Thalassotalea	1518149	G	1	0	1	0.00012
Ferrimonas	44011	G	4	3	7	0.00063
Psychromonas	67572	G	2	1	3	0.00032
Moritella	58050	G	1	0	1	0.00017
Pseudomonas	286	G	520	440	960	0.08335
Permianibacter	1649479	G	8	1	9	0.00078
Azotobacter	352	G	3	3	6	0.00054
Oblitimonas	1849530	G	1	2	3	0.00028
Acinetobacter	469	G	46	68	114	0.00998
Moraxella	475	G	5	5	10	0.00094
Psychrobacter	497	G	4	6	10	0.00094
Enterobacter	547	G	21	141	162	0.01415
Citrobacter	544	G	16	88	104	0.00908
Klebsiella	570	G	15	125	140	0.01222
Escherichia	561	G	11	323	334	0.02902
Salmonella	590	G	9	666	675	0.05867
Kosakonia	1330547	G	7	17	24	0.00210
Raoultella	160674	G	7	44	51	0.00450
Cronobacter	413496	G	4	8	12	0.00107
Kluyvera	579	G	3	4	7	0.00064
Leclercia	83654	G	3	7	10	0.00090
Limnobaculum	2172100	G	2	2	4	0.00038
Izhakiella	1780190	G	2	1	3	0.00029
Scandinavium	2726810	G	1	1	2	0.00018
Lelliottia	1330545	G	1	1	2	0.00018
Gibbsiella	929812	G	1	0	1	0.00016
Candidatus Hamiltonella	568987	G	1	0	1	0.00012
Cedecea	158483	G	1	1	2	0.00018
Buttiauxella	82976	G	1	1	2	0.00018
Shigella	620	G	1	0	1	0.00009
Pantoea	53335	G	33	37	70	0.00611
Erwinia	551	G	9	10	19	0.00173
Tatumella	82986	G	6	5	11	0.00102
Mixta	2100764	G	3	2	5	0.00044
Serratia	613	G	20	51	71	0.00616
Yersinia	629	G	17	4	21	0.00184
Chania	1745211	G	3	2	5	0.00048
