,PCA1,PCA2,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,-3.3663702125591,10.849744525278256,"e6, 10A",e6,10A,MIT0604,DE,Co_Culture,0.2615555555555556
1,-2.7299610180319744,11.69690303984893,"e6, 10B",e6,10B,MIT0604,DE,Co_Culture,0.28001851851851856
2,-2.180398500736326,7.626184891866264,"e6, 10C",e6,10C,MIT0604,DE,Co_Culture,0.2889259259259259
3,-2.315467218499191,-2.196283335757261,"e6, 11A",e6,11A,MED4,DE1,Co_Culture,0.2942407407407408
4,-0.9893791313138756,-2.478125774920548,"e6, 11B",e6,11B,MED4,DE1,Co_Culture,0.3245000000000002
5,0.8312488129298469,-1.677418076402758,"e6, 11C",e6,11C,MED4,DE1,Co_Culture,0.34481481481481496
6,-10.453500052388945,-1.9910985879336618,"e6, 12A",e6,12A,MIT9313,DE1,Co_Culture,0.10520370370370366
7,-8.751707183497969,-1.6179221474226542,"e6, 12B",e6,12B,MIT9313,DE1,Co_Culture,0.14766666666666664
8,-8.606719299915097,-1.7339008524174115,"e6, 12C",e6,12C,MIT9313,DE1,Co_Culture,0.13899999999999998
9,2.079296533722203,-0.9809147049594845,"e6, 13A",e6,13A,MIT9312,DE1,Co_Culture,0.3589074074074074
10,2.688865286444868,-2.8391799565399816,"e6, 13B",e6,13B,MIT9312,DE1,Co_Culture,0.4223333333333334
11,4.609432852319114,-1.6983202170268783,"e6, 13C",e6,13C,MIT9312,DE1,Co_Culture,0.4252037037037038
12,5.534404375400092,3.1404512725688303,"e6, 14A",e6,14A,Natl2A,DE1,Co_Culture,0.4445
13,-3.2731030533005487,2.5051567847788463,"e6, 14B",e6,14B,Natl2A,DE1,Co_Culture,0.260351851851852
14,1.989681186066947,0.8161966288019726,"e6, 14C",e6,14C,Natl2A,DE1,Co_Culture,0.36696296296296266
15,-1.6809998064261997,3.207956220907014,"e6, 15A",e6,15A,MIT0604,DE1,Co_Culture,0.2605740740740743
16,-2.370512595475407,1.1875657339069123,"e6, 15B",e6,15B,MIT0604,DE1,Co_Culture,0.250462962962963
17,-4.0444564926780755,3.4240573055420964,"e6, 15C",e6,15C,MIT0604,DE1,Co_Culture,0.21950000000000017
18,7.1456530903178,-2.2180197278269547,"e6, 16A",e6,16A,MED4,BS11,Co_Culture,0.5323888888888889
19,8.424857185133876,-2.8925716350251456,"e6, 16B",e6,16B,MED4,BS11,Co_Culture,0.5739074074074076
20,13.98759645227198,3.8738891439696936,"e6, 16C",e6,16C,MED4,BS11,Co_Culture,0.6107592592592589
21,-12.771029353399065,-2.2929755438255373,"e6, 17A",e6,17A,MIT9313,BS11,Co_Culture,0.07005555555555554
22,-11.414933958445795,-2.3849347062848567,"e6, 17C",e6,17C,MIT9313,BS11,Co_Culture,0.09470370370370364
23,2.9123205874008966,1.9641682719577838,"e6, 18A",e6,18A,MIT9312,BS11,Co_Culture,0.3760555555555553
24,3.0788443518981463,-2.727788997383217,"e6, 18C",e6,18C,MIT9312,BS11,Co_Culture,0.43477777777777793
25,1.8836174462598996,-2.3063005601064086,"e6, 19A",e6,19A,Natl2A,BS11,Co_Culture,0.3906111111111112
26,3.6713355772119907,2.368218234594021,"e6, 19B",e6,19B,Natl2A,BS11,Co_Culture,0.4006296296296297
27,1.1977011512385922,1.357410237853678,"e6, 19C",e6,19C,Natl2A,BS11,Co_Culture,0.3472777777777778
28,-0.07247385955245988,-1.7877258525917625,"e6, 1A",e6,1A,MED4,1A3,Co_Culture,0.3316851851851852
29,1.0889848353294318,-0.6143434683589981,"e6, 1B",e6,1B,MED4,1A3,Co_Culture,0.3489074074074073
30,1.9839246726786604,-1.3218022561104725,"e6, 1C",e6,1C,MED4,1A3,Co_Culture,0.37164814814814834
31,-8.960478740068927,1.778033662844034,"e6, 20A",e6,20A,MIT0604,BS11,Co_Culture,0.13255555555555554
32,-4.434130073225397,1.185180041839176,"e6, 20B",e6,20B,MIT0604,BS11,Co_Culture,0.21125925925925937
33,-3.2803791368632527,4.894200574710628,"e6, 20C",e6,20C,MIT0604,BS11,Co_Culture,0.2559444444444446
