,PCA1,PCA2,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,2.132802417371149,5.1810040369717605,"e5, 10A",e5,10A,MIT0604,DE,Co_Culture,0.35581538461538464
1,2.1609751696471635,5.175749146411017,"e5, 10B",e5,10B,MIT0604,DE,Co_Culture,0.35278461538461525
2,2.8991546337570973,6.0240317629914655,"e5, 10C",e5,10C,MIT0604,DE,Co_Culture,0.37918461538461534
3,1.9312277624943035,-4.899266615222181,"e5, 11A",e5,11A,MED4,DE1,Co_Culture,0.5181692307692303
4,-4.602785383909593,-2.0751973705099647,"e5, 11B",e5,11B,MED4,DE1,Co_Culture,0.3284923076923077
5,-11.011778942750512,1.2723832914578335,"e5, 11C",e5,11C,MED4,DE1,Co_Culture,0.11406153846153846
6,-9.683278355087038,1.2916894079708143,"e5, 12A",e5,12A,MIT9313,DE1,Co_Culture,0.11075384615384606
7,-7.517223957618315,1.0326508556623162,"e5, 12B",e5,12B,MIT9313,DE1,Co_Culture,0.1609230769230771
8,-8.431776514381571,1.130115293074542,"e5, 12C",e5,12C,MIT9313,DE1,Co_Culture,0.14066153846153864
9,-1.400093563072462,-1.9938883326397465,"e5, 13B",e5,13B,MIT9312,DE1,Co_Culture,0.42487692307692315
10,4.02640586662605,-5.180918034856064,"e5, 13C",e5,13C,MIT9312,DE1,Co_Culture,0.5561692307692307
11,12.002121832512529,3.859541984281164,"e5, 14A",e5,14A,Natl2A,DE1,Co_Culture,0.6423230769230769
12,11.629368915131558,3.03562613498957,"e5, 14B",e5,14B,Natl2A,DE1,Co_Culture,0.6466
13,8.984415012848716,3.335699521781293,"e5, 14C",e5,14C,Natl2A,DE1,Co_Culture,0.5677384615384614
14,3.797002267211205,7.902412012478839,"e5, 15A",e5,15A,MIT0604,DE1,Co_Culture,0.34944615384615385
15,2.261734220591246,7.320736790384069,"e5, 15B",e5,15B,MIT0604,DE1,Co_Culture,0.3217692307692307
16,4.412767165485594,11.48476229932282,"e5, 15C",e5,15C,MIT0604,DE1,Co_Culture,0.3370923076923078
17,-6.064689107334063,-1.520161180686359,"e5, 16B",e5,16B,MED4,BS11,Co_Culture,0.34193846153846147
18,-9.613391098191093,1.2189708106269483,"e5, 17A",e5,17A,MIT9313,BS11,Co_Culture,0.1122615384615384
19,-6.233565381156511,0.6735392098768951,"e5, 17B",e5,17B,MIT9313,BS11,Co_Culture,0.19507692307692312
20,-8.688376528265445,1.3739065839008642,"e5, 17C",e5,17C,MIT9313,BS11,Co_Culture,0.1303692307692308
21,3.8927223310731414,-2.714721738671134,"e5, 18A",e5,18A,MIT9312,BS11,Co_Culture,0.4746461538461539
22,5.43238361798057,-5.1587932835412875,"e5, 18B",e5,18B,MIT9312,BS11,Co_Culture,0.5672153846153841
23,5.996659115007172,-5.9499405101054625,"e5, 18C",e5,18C,MIT9312,BS11,Co_Culture,0.6159076923076922
24,13.411210734350162,3.629846178223654,"e5, 19A",e5,19A,Natl2A,BS11,Co_Culture,0.7010461538461538
25,10.205028064288593,0.22863137330010733,"e5, 19B",e5,19B,Natl2A,BS11,Co_Culture,0.6261230769230766
26,5.840764315536018,0.07091135658837831,"e5, 19C",e5,19C,Natl2A,BS11,Co_Culture,0.4940769230769229
27,-8.275121584671387,0.5898923230667834,"e5, 1C",e5,1C,MED4,1A3,Co_Culture,0.2558307692307693
