,PRO,ALT,sample,PRO.1,ALT.1,experiment,day,FL,PA
0,MED4,1A3,1A,7485642.317,29923510.15,exp1,100,0.35600000000000004,"MED4,1A3"
1,MED4,1A3,1B,6720906.801,21597642.44,exp1,100,0.40299999999999997,"MED4,1A3"
2,MED4,1A3,1C,11213350.13,17420563.2,exp1,100,0.626,"MED4,1A3"
3,MIT9313,1A3,2A,1415617.128,5134250.164,exp1,100,0.10099999999999999,"MIT9313,1A3"
4,MIT9313,1A3,2B,1018639.798,4885134.25,exp1,100,0.05,"MIT9313,1A3"
5,MIT9313,1A3,2C,973047.8589,4232612.967,exp1,100,0.155,"MIT9313,1A3"
6,MIT9312,1A3,3A,6901511.335,11649246.89,exp1,100,0.534,"MIT9312,1A3"
7,MIT9312,1A3,3B,8916120.907,13586116.57,exp1,100,0.5760000000000001,"MIT9312,1A3"
8,MIT9312,1A3,3C,14139042.82,15524034.05,exp1,100,0.531,"MIT9312,1A3"
9,Natl2A,1A3,4A,12236523.93,26727963.33,exp1,100,0.47,"Natl2A,1A3"
10,Natl2A,1A3,4B,7702267.003,17933464.31,exp1,100,0.7859999999999999,"Natl2A,1A3"
11,Natl2A,1A3,4C,12961964.74,21583759.0,exp1,100,0.643,"Natl2A,1A3"
12,MIT0604,1A3,5A,5534005.038,18968696.79,exp1,100,0.7020000000000001,"MIT0604,1A3"
13,MIT0604,1A3,5B,7601763.224,22012835.63,exp1,100,0.619,"MIT0604,1A3"
14,MIT0604,1A3,5C,6272544.081,17372626.06,exp1,100,0.626,"MIT0604,1A3"
15,MED4,DE,6A,13487153.65,27327832.35,exp1,100,0.249,"MED4,DE"
16,MED4,DE,6B,11266750.63,28998297.31,exp1,100,0.225,"MED4,DE"
17,MED4,DE,6C,14287909.32,23657891.29,exp1,100,0.235,"MED4,DE"
18,MIT9313,DE,7A,2735768.262,11198690.24,exp1,100,0.10099999999999999,"MIT9313,DE"
19,MIT9313,DE,7B,3413853.904,11072953.5,exp1,100,0.084,"MIT9313,DE"
20,MIT9313,DE,7C,4421914.358,16112377.21,exp1,100,0.149,"MIT9313,DE"
21,MIT9312,DE,8A,18120654.91,13683300.59,exp1,100,0.838,"MIT9312,DE"
22,MIT9312,DE,8B,19090176.32,14094302.55,exp1,100,0.691,"MIT9312,DE"
23,MIT9312,DE,8C,12968513.85,11770792.4,exp1,100,0.675,"MIT9312,DE"
24,Natl2A,DE,9A,28878841.31,27998428.29,exp1,100,0.9790000000000001,"Natl2A,DE"
25,Natl2A,DE,9B,21000503.78,20075180.09,exp1,100,1.0270000000000001,"Natl2A,DE"
26,Natl2A,DE,9C,20065239.29,20599345.12,exp1,100,1.175,"Natl2A,DE"
27,MIT0604,DE,10A,10675314.86,25244269.81,exp1,100,0.423,"MIT0604,DE"
28,MIT0604,DE,10B,11764735.52,24944073.35,exp1,100,0.466,"MIT0604,DE"
29,MIT0604,DE,10C,11286649.87,27875049.12,exp1,100,0.49,"MIT0604,DE"
30,MED4,DE1,11A,15035012.59,22350753.11,exp1,100,0.237,"MED4,DE1"
31,MED4,DE1,11B,13771284.63,21955730.19,exp1,100,0.23800000000000002,"MED4,DE1"
32,MED4,DE1,11C,17726196.47,20829862.48,exp1,100,0.253,"MED4,DE1"
33,MIT9313,DE1,12A,1506297.229,7699541.585,exp1,100,0.062,"MIT9313,DE1"
34,MIT9313,DE1,12B,2031738.035,9005108.055,exp1,100,0.11199999999999999,"MIT9313,DE1"
35,MIT9313,DE1,12C,2595717.884,8343680.419,exp1,100,0.07,"MIT9313,DE1"
36,MIT9312,DE1,13A,10258517.56,13384455.45,exp1,100,0.48700000000000004,"MIT9312,DE1"
37,MIT9312,DE1,13B,8632119.636,15065346.53,exp1,100,0.466,"MIT9312,DE1"
38,MIT9312,DE1,13C,7615084.525,14534257.43,exp1,100,0.47600000000000003,"MIT9312,DE1"
39,Natl2A,DE1,14A,7701300.39,18941881.19,exp1,100,0.9109999999999999,"Natl2A,DE1"
40,Natl2A,DE1,14B,4060923.277,18106930.69,exp1,100,1.051,"Natl2A,DE1"
41,Natl2A,DE1,14C,7636736.021,19213366.34,exp1,100,1.318,"Natl2A,DE1"
42,MIT0604,DE1,15A,5479583.875,16288514.85,exp1,100,0.396,"MIT0604,DE1"
43,MIT0604,DE1,15B,5255461.638,16895346.53,exp1,100,0.45799999999999996,"MIT0604,DE1"
44,MIT0604,DE1,15C,5631729.519,16482475.25,exp1,100,0.44299999999999995,"MIT0604,DE1"
45,MED4,BS11,16A,20159882.96,42907128.71,exp1,100,0.385,"MED4,BS11"
46,MED4,BS11,16B,21390507.15,44255346.53,exp1,100,0.382,"MED4,BS11"
47,MED4,BS11,16C,29921586.48,28283762.38,exp1,100,0.349,"MED4,BS11"
