,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,"e4, 10A",e4,10A,MIT0604,DE,Co_Culture,0.20194871794871794
1,"e4, 10B",e4,10B,MIT0604,DE,Co_Culture,0.21362820512820507
2,"e4, 10C",e4,10C,MIT0604,DE,Co_Culture,0.21843589743589747
3,"e4, 11A",e4,11A,MED4,DE1,Co_Culture,0.3432307692307691
4,"e4, 11B",e4,11B,MED4,DE1,Co_Culture,0.3052435897435897
5,"e4, 11C",e4,11C,MED4,DE1,Co_Culture,0.3673205128205129
6,"e4, 12A",e4,12A,MIT9313,DE1,Co_Culture,0.08970512820512808
7,"e4, 12B",e4,12B,MIT9313,DE1,Co_Culture,0.10676923076923074
8,"e4, 12C",e4,12C,MIT9313,DE1,Co_Culture,0.12278205128205148
9,"e4, 13A",e4,13A,MIT9312,DE1,Co_Culture,0.49728205128205133
10,"e4, 13B",e4,13B,MIT9312,DE1,Co_Culture,0.5245897435897438
11,"e4, 13C",e4,13C,MIT9312,DE1,Co_Culture,0.47270512820512817
12,"e4, 14A",e4,14A,Natl2A,DE1,Co_Culture,0.40079487179487183
13,"e4, 14B",e4,14B,Natl2A,DE1,Co_Culture,0.40271794871794864
14,"e4, 14C",e4,14C,Natl2A,DE1,Co_Culture,0.3863461538461538
15,"e4, 15A",e4,15A,MIT0604,DE1,Co_Culture,0.25967948717948725
16,"e4, 15B",e4,15B,MIT0604,DE1,Co_Culture,0.2134358974358974
17,"e4, 15C",e4,15C,MIT0604,DE1,Co_Culture,0.238
18,"e4, 16A",e4,16A,MED4,BS11,Co_Culture,0.5467948717948721
19,"e4, 16B",e4,16B,MED4,BS11,Co_Culture,0.4478717948717949
20,"e4, 16C",e4,16C,MED4,BS11,Co_Culture,0.6026025641025642
21,"e4, 17A",e4,17A,MIT9313,BS11,Co_Culture,0.07853846153846146
22,"e4, 17B",e4,17B,MIT9313,BS11,Co_Culture,0.12332051282051296
23,"e4, 17C",e4,17C,MIT9313,BS11,Co_Culture,0.07553846153846144
24,"e4, 18A",e4,18A,MIT9312,BS11,Co_Culture,0.39787179487179497
25,"e4, 18B",e4,18B,MIT9312,BS11,Co_Culture,0.6097051282051276
26,"e4, 18C",e4,18C,MIT9312,BS11,Co_Culture,0.5458589743589741
27,"e4, 19A",e4,19A,Natl2A,BS11,Co_Culture,0.4489230769230769
28,"e4, 19B",e4,19B,Natl2A,BS11,Co_Culture,0.41265384615384604
29,"e4, 19C",e4,19C,Natl2A,BS11,Co_Culture,0.3333589743589745
30,"e4, 1A",e4,1A,MED4,1A3,Co_Culture,0.38243589743589734
31,"e4, 1B",e4,1B,MED4,1A3,Co_Culture,0.3985128205128205
32,"e4, 1C",e4,1C,MED4,1A3,Co_Culture,0.4188076923076919
33,"e4, 20A",e4,20A,MIT0604,BS11,Co_Culture,0.21332051282051298
34,"e4, 20B",e4,20B,MIT0604,BS11,Co_Culture,0.25464102564102564
35,"e4, 20C",e4,20C,MIT0604,BS11,Co_Culture,0.27962820512820524
36,"e4, 21A",e4,21A,MED4,ATCC,Co_Culture,0.42825641025641004
37,"e4, 21B",e4,21B,MED4,ATCC,Co_Culture,0.4175641025641026
38,"e4, 21C",e4,21C,MED4,ATCC,Co_Culture,0.42328205128205126
39,"e4, 22A",e4,22A,MIT9313,ATCC,Co_Culture,0.12342307692307698
40,"e4, 22B",e4,22B,MIT9313,ATCC,Co_Culture,0.12137179487179497
41,"e4, 22C",e4,22C,MIT9313,ATCC,Co_Culture,0.11937179487179495
42,"e4, 23A",e4,23A,MIT9312,ATCC,Co_Culture,0.5140128205128206
43,"e4, 23B",e4,23B,MIT9312,ATCC,Co_Culture,0.43853846153846104
44,"e4, 23C",e4,23C,MIT9312,ATCC,Co_Culture,0.540897435897436
45,"e4, 24A",e4,24A,Natl2A,ATCC,Co_Culture,0.4109102564102564
46,"e4, 24B",e4,24B,Natl2A,ATCC,Co_Culture,0.37493589743589745
47,"e4, 24C",e4,24C,Natl2A,ATCC,Co_Culture,0.42078205128205126
48,"e4, 25C",e4,25C,MIT0604,ATCC,Co_Culture,0.26470512820512826
49,"e4, 2A",e4,2A,MIT9313,1A3,Co_Culture,0.1035897435897435
50,"e4, 2C",e4,2C,MIT9313,1A3,Co_Culture,0.1014230769230768
51,"e4, 3A",e4,3A,MIT9312,1A3,Co_Culture,0.3516538461538462
52,"e4, 3B",e4,3B,MIT9312,1A3,Co_Culture,0.35844871794871813
53,"e4, 3C",e4,3C,MIT9312,1A3,Co_Culture,0.38389743589743575
54,"e4, 4A",e4,4A,Natl2A,1A3,Co_Culture,0.41811538461538444
55,"e4, 4B",e4,4B,Natl2A,1A3,Co_Culture,0.38057692307692303
56,"e4, 4C",e4,4C,Natl2A,1A3,Co_Culture,0.41480769230769243
57,"e4, 5A",e4,5A,MIT0604,1A3,Co_Culture,0.325423076923077
58,"e4, 5B",e4,5B,MIT0604,1A3,Co_Culture,0.3226282051282051
59,"e4, 5C",e4,5C,MIT0604,1A3,Co_Culture,0.3363717948717949
60,"e4, 6A",e4,6A,MED4,DE,Co_Culture,0.453974358974359
61,"e4, 6B",e4,6B,MED4,DE,Co_Culture,0.4119615384615385
62,"e4, 6C",e4,6C,MED4,DE,Co_Culture,0.4087564102564103
