,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,"e5, 10A",e5,10A,MIT0604,DE,Co_Culture,0.35581538461538464
1,"e5, 10B",e5,10B,MIT0604,DE,Co_Culture,0.35278461538461525
2,"e5, 10C",e5,10C,MIT0604,DE,Co_Culture,0.37918461538461534
3,"e5, 11A",e5,11A,MED4,DE1,Co_Culture,0.5181692307692303
4,"e5, 11B",e5,11B,MED4,DE1,Co_Culture,0.3284923076923077
5,"e5, 11C",e5,11C,MED4,DE1,Co_Culture,0.11406153846153846
6,"e5, 12A",e5,12A,MIT9313,DE1,Co_Culture,0.11075384615384606
7,"e5, 12B",e5,12B,MIT9313,DE1,Co_Culture,0.1609230769230771
8,"e5, 12C",e5,12C,MIT9313,DE1,Co_Culture,0.14066153846153864
9,"e5, 13B",e5,13B,MIT9312,DE1,Co_Culture,0.42487692307692315
10,"e5, 13C",e5,13C,MIT9312,DE1,Co_Culture,0.5561692307692307
11,"e5, 14A",e5,14A,Natl2A,DE1,Co_Culture,0.6423230769230769
12,"e5, 14B",e5,14B,Natl2A,DE1,Co_Culture,0.6466
13,"e5, 14C",e5,14C,Natl2A,DE1,Co_Culture,0.5677384615384614
14,"e5, 15A",e5,15A,MIT0604,DE1,Co_Culture,0.34944615384615385
15,"e5, 15B",e5,15B,MIT0604,DE1,Co_Culture,0.3217692307692307
16,"e5, 15C",e5,15C,MIT0604,DE1,Co_Culture,0.3370923076923078
17,"e5, 16B",e5,16B,MED4,BS11,Co_Culture,0.34193846153846147
18,"e5, 17A",e5,17A,MIT9313,BS11,Co_Culture,0.1122615384615384
19,"e5, 17B",e5,17B,MIT9313,BS11,Co_Culture,0.19507692307692312
20,"e5, 17C",e5,17C,MIT9313,BS11,Co_Culture,0.1303692307692308
21,"e5, 18A",e5,18A,MIT9312,BS11,Co_Culture,0.4746461538461539
22,"e5, 18B",e5,18B,MIT9312,BS11,Co_Culture,0.5672153846153841
23,"e5, 18C",e5,18C,MIT9312,BS11,Co_Culture,0.6159076923076922
24,"e5, 19A",e5,19A,Natl2A,BS11,Co_Culture,0.7010461538461538
25,"e5, 19B",e5,19B,Natl2A,BS11,Co_Culture,0.6261230769230766
26,"e5, 19C",e5,19C,Natl2A,BS11,Co_Culture,0.4940769230769229
27,"e5, 1C",e5,1C,MED4,1A3,Co_Culture,0.2558307692307693
28,"e5, 20B",e5,20B,MIT0604,BS11,Co_Culture,0.21000000000000005
29,"e5, 20C",e5,20C,MIT0604,BS11,Co_Culture,0.3062923076923078
30,"e5, 21B",e5,21B,MED4,ATCC,Co_Culture,0.30829230769230764
31,"e5, 21C",e5,21C,MED4,ATCC,Co_Culture,0.6057999999999999
32,"e5, 22A",e5,22A,MIT9313,ATCC,Co_Culture,0.1778615384615386
33,"e5, 22B",e5,22B,MIT9313,ATCC,Co_Culture,0.16767692307692322
34,"e5, 22C",e5,22C,MIT9313,ATCC,Co_Culture,0.17050769230769247
35,"e5, 23A",e5,23A,MIT9312,ATCC,Co_Culture,0.43510769230769236
36,"e5, 23C",e5,23C,MIT9312,ATCC,Co_Culture,0.42592307692307707
37,"e5, 24A",e5,24A,Natl2A,ATCC,Co_Culture,0.462046153846154
38,"e5, 24B",e5,24B,Natl2A,ATCC,Co_Culture,0.4759846153846154
39,"e5, 24C",e5,24C,Natl2A,ATCC,Co_Culture,0.5010461538461536
40,"e5, 25C",e5,25C,MIT0604,ATCC,Co_Culture,0.439446153846154
41,"e5, 2A",e5,2A,MIT9313,1A3,Co_Culture,0.1092461538461538
42,"e5, 2C",e5,2C,MIT9313,1A3,Co_Culture,0.10444615384615379
43,"e5, 3A",e5,3A,MIT9312,1A3,Co_Culture,0.5136923076923073
44,"e5, 3B",e5,3B,MIT9312,1A3,Co_Culture,0.31740000000000007
45,"e5, 3C",e5,3C,MIT9312,1A3,Co_Culture,0.4969999999999998
46,"e5, 4A",e5,4A,Natl2A,1A3,Co_Culture,0.44430769230769235
47,"e5, 4B",e5,4B,Natl2A,1A3,Co_Culture,0.5207692307692308
48,"e5, 4C",e5,4C,Natl2A,1A3,Co_Culture,0.4044153846153847
49,"e5, 5A",e5,5A,MIT0604,1A3,Co_Culture,0.327446153846154
50,"e5, 5B",e5,5B,MIT0604,1A3,Co_Culture,0.33556923076923084
51,"e5, 5C",e5,5C,MIT0604,1A3,Co_Culture,0.40443076923076937
52,"e5, 6A",e5,6A,MED4,DE,Co_Culture,0.7197692307692309
53,"e5, 6B",e5,6B,MED4,DE,Co_Culture,0.4552153846153845
54,"e5, 6C",e5,6C,MED4,DE,Co_Culture,0.5760153846153845
55,"e5, 7A",e5,7A,MIT9313,DE,Co_Culture,0.18513846153846164
56,"e5, 7B",e5,7B,MIT9313,DE,Co_Culture,0.1627538461538462
57,"e5, 7C",e5,7C,MIT9313,DE,Co_Culture,0.11956923076923068
58,"e5, 8A",e5,8A,MIT9312,DE,Co_Culture,0.31238461538461554
59,"e5, 8B",e5,8B,MIT9312,DE,Co_Culture,0.46963076923076935
60,"e5, 8C",e5,8C,MIT9312,DE,Co_Culture,0.4193076923076924
61,"e5, 9A",e5,9A,Natl2A,DE,Co_Culture,0.30847692307692315
62,"e5, 9B",e5,9B,Natl2A,DE,Co_Culture,0.586784615384615
63,"e5, 9C",e5,9C,Natl2A,DE,Co_Culture,0.6120923076923077
