,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,"e6, 10A",e6,10A,MIT0604,DE,Co_Culture,0.2615555555555556
1,"e6, 10B",e6,10B,MIT0604,DE,Co_Culture,0.28001851851851856
2,"e6, 10C",e6,10C,MIT0604,DE,Co_Culture,0.2889259259259259
3,"e6, 11A",e6,11A,MED4,DE1,Co_Culture,0.2942407407407408
4,"e6, 11B",e6,11B,MED4,DE1,Co_Culture,0.3245000000000002
5,"e6, 11C",e6,11C,MED4,DE1,Co_Culture,0.34481481481481496
6,"e6, 12A",e6,12A,MIT9313,DE1,Co_Culture,0.10520370370370366
7,"e6, 12B",e6,12B,MIT9313,DE1,Co_Culture,0.14766666666666664
8,"e6, 12C",e6,12C,MIT9313,DE1,Co_Culture,0.13899999999999998
9,"e6, 13A",e6,13A,MIT9312,DE1,Co_Culture,0.3589074074074074
10,"e6, 13B",e6,13B,MIT9312,DE1,Co_Culture,0.4223333333333334
11,"e6, 13C",e6,13C,MIT9312,DE1,Co_Culture,0.4252037037037038
12,"e6, 14A",e6,14A,Natl2A,DE1,Co_Culture,0.4445
13,"e6, 14B",e6,14B,Natl2A,DE1,Co_Culture,0.260351851851852
14,"e6, 14C",e6,14C,Natl2A,DE1,Co_Culture,0.36696296296296266
15,"e6, 15A",e6,15A,MIT0604,DE1,Co_Culture,0.2605740740740743
16,"e6, 15B",e6,15B,MIT0604,DE1,Co_Culture,0.250462962962963
17,"e6, 15C",e6,15C,MIT0604,DE1,Co_Culture,0.21950000000000017
18,"e6, 16A",e6,16A,MED4,BS11,Co_Culture,0.5323888888888889
19,"e6, 16B",e6,16B,MED4,BS11,Co_Culture,0.5739074074074076
20,"e6, 16C",e6,16C,MED4,BS11,Co_Culture,0.6107592592592589
21,"e6, 17A",e6,17A,MIT9313,BS11,Co_Culture,0.07005555555555554
22,"e6, 17C",e6,17C,MIT9313,BS11,Co_Culture,0.09470370370370364
23,"e6, 18A",e6,18A,MIT9312,BS11,Co_Culture,0.3760555555555553
24,"e6, 18C",e6,18C,MIT9312,BS11,Co_Culture,0.43477777777777793
25,"e6, 19A",e6,19A,Natl2A,BS11,Co_Culture,0.3906111111111112
26,"e6, 19B",e6,19B,Natl2A,BS11,Co_Culture,0.4006296296296297
27,"e6, 19C",e6,19C,Natl2A,BS11,Co_Culture,0.3472777777777778
28,"e6, 1A",e6,1A,MED4,1A3,Co_Culture,0.3316851851851852
29,"e6, 1B",e6,1B,MED4,1A3,Co_Culture,0.3489074074074073
30,"e6, 1C",e6,1C,MED4,1A3,Co_Culture,0.37164814814814834
31,"e6, 20A",e6,20A,MIT0604,BS11,Co_Culture,0.13255555555555554
32,"e6, 20B",e6,20B,MIT0604,BS11,Co_Culture,0.21125925925925937
33,"e6, 20C",e6,20C,MIT0604,BS11,Co_Culture,0.2559444444444446
34,"e6, 21A",e6,21A,MED4,ATCC,Co_Culture,0.49551851851851864
35,"e6, 21B",e6,21B,MED4,ATCC,Co_Culture,0.47229629629629627
36,"e6, 21C",e6,21C,MED4,ATCC,Co_Culture,0.5024074074074075
37,"e6, 23A",e6,23A,MIT9312,ATCC,Co_Culture,0.5319259259259258
38,"e6, 23C",e6,23C,MIT9312,ATCC,Co_Culture,0.4697962962962964
39,"e6, 24A",e6,24A,Natl2A,ATCC,Co_Culture,0.43851851851851864
40,"e6, 24B",e6,24B,Natl2A,ATCC,Co_Culture,0.2957222222222222
41,"e6, 24C",e6,24C,Natl2A,ATCC,Co_Culture,0.3493888888888889
42,"e6, 25C",e6,25C,MIT0604,ATCC,Co_Culture,0.3353518518518519
43,"e6, 2A",e6,2A,MIT9313,1A3,Co_Culture,0.08318518518518514
44,"e6, 2C",e6,2C,MIT9313,1A3,Co_Culture,0.09162962962962959
45,"e6, 3A",e6,3A,MIT9312,1A3,Co_Culture,0.40444444444444455
46,"e6, 3B",e6,3B,MIT9312,1A3,Co_Culture,0.35924074074074075
47,"e6, 3C",e6,3C,MIT9312,1A3,Co_Culture,0.3915185185185186
48,"e6, 4A",e6,4A,Natl2A,1A3,Co_Culture,0.4060740740740742
49,"e6, 4B",e6,4B,Natl2A,1A3,Co_Culture,0.3832592592592593
50,"e6, 4C",e6,4C,Natl2A,1A3,Co_Culture,0.3728888888888888
51,"e6, 5A",e6,5A,MIT0604,1A3,Co_Culture,0.262074074074074
52,"e6, 5B",e6,5B,MIT0604,1A3,Co_Culture,0.3202962962962963
53,"e6, 5C",e6,5C,MIT0604,1A3,Co_Culture,0.28479629629629644
54,"e6, 6A",e6,6A,MED4,DE,Co_Culture,0.5556851851851852
55,"e6, 6B",e6,6B,MED4,DE,Co_Culture,0.4393703703703704
56,"e6, 6C",e6,6C,MED4,DE,Co_Culture,0.4957777777777777
57,"e6, 7A",e6,7A,MIT9313,DE,Co_Culture,0.14003703703703702
58,"e6, 7C",e6,7C,MIT9313,DE,Co_Culture,0.12503703703703706
59,"e6, 8A",e6,8A,MIT9312,DE,Co_Culture,0.45501851851851877
60,"e6, 8B",e6,8B,MIT9312,DE,Co_Culture,0.3633333333333333
61,"e6, 8C",e6,8C,MIT9312,DE,Co_Culture,0.424425925925926
62,"e6, 9A",e6,9A,Natl2A,DE,Co_Culture,0.5104444444444445
63,"e6, 9B",e6,9B,Natl2A,DE,Co_Culture,0.4025185185185186
64,"e6, 9C",e6,9C,Natl2A,DE,Co_Culture,0.4302777777777779
