,PCA1,PCA2,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,1.7139346460748908,-3.832685452052976,"e3, 10A",e3,10A,MIT0604,DE,Co_Culture,0.4231772151898733
1,0.4558130312034417,-3.1694334824013515,"e3, 10B",e3,10B,MIT0604,DE,Co_Culture,0.39815189873417717
2,0.8530454759562432,-3.8567569415650325,"e3, 10C",e3,10C,MIT0604,DE,Co_Culture,0.4019367088607595
3,5.734091614602406,8.800004672375094,"e3, 11A",e3,11A,MED4,DE1,Co_Culture,0.56779746835443
4,1.9376205938077455,8.976889450394209,"e3, 11B",e3,11B,MED4,DE1,Co_Culture,0.5199620253164557
5,5.082967875197045,8.51384153647023,"e3, 11C",e3,11C,MED4,DE1,Co_Culture,0.5442911392405059
6,-8.819781034952857,-1.129718393974097,"e3, 12A",e3,12A,MIT9313,DE1,Co_Culture,0.09983544303797459
7,-8.78015503422869,-1.5794985907357906,"e3, 12B",e3,12B,MIT9313,DE1,Co_Culture,0.0950253164556961
8,-7.6016437969278625,-0.39392049134971396,"e3, 12C",e3,12C,MIT9313,DE1,Co_Culture,0.14456962025316486
9,2.0395017373630995,2.2955968419210655,"e3, 13A",e3,13A,MIT9312,DE1,Co_Culture,0.48550632911392366
10,3.201686886738037,4.366341205463043,"e3, 13B",e3,13B,MIT9312,DE1,Co_Culture,0.5284810126582272
11,2.2990790962421213,2.9808309649981353,"e3, 13C",e3,13C,MIT9312,DE1,Co_Culture,0.5014303797468349
12,5.084129038129055,-4.339709026637937,"e3, 14A",e3,14A,Natl2A,DE1,Co_Culture,0.4274936708860761
13,2.72067388854486,-3.5211685550837486,"e3, 14B",e3,14B,Natl2A,DE1,Co_Culture,0.4035696202531646
14,6.183223541609371,-2.510077808642398,"e3, 14C",e3,14C,Natl2A,DE1,Co_Culture,0.4919873417721517
15,-5.845010266789315,0.44511205729874703,"e3, 15A",e3,15A,MIT0604,DE1,Co_Culture,0.26145569620253173
16,-6.6615646043849495,0.3509420663615717,"e3, 15B",e3,15B,MIT0604,DE1,Co_Culture,0.2396708860759493
17,-6.24681760407096,0.9161259780008959,"e3, 15C",e3,15C,MIT0604,DE1,Co_Culture,0.2537341772151899
18,5.210475363478453,5.477356976027365,"e3, 16A",e3,16A,MED4,BS11,Co_Culture,0.5348607594936707
19,3.271530160191999,3.1887816212664264,"e3, 16B",e3,16B,MED4,BS11,Co_Culture,0.48103797468354415
20,-8.126632390541957,-0.72582605552967,"e3, 17A",e3,17A,MIT9313,BS11,Co_Culture,0.11927848101265838
21,-5.3669527564602975,-0.7689406822548697,"e3, 17B",e3,17B,MIT9313,BS11,Co_Culture,0.20264556962025326
22,-8.194644336924059,-0.6462936698832115,"e3, 17C",e3,17C,MIT9313,BS11,Co_Culture,0.14088607594936742
23,6.60926566463552,-4.081079158783721,"e3, 18A",e3,18A,MIT9312,BS11,Co_Culture,0.5213164556962028
24,11.037513216438004,8.894899762064867,"e3, 18B",e3,18B,MIT9312,BS11,Co_Culture,0.7973037974683541
25,13.282621776692153,1.1178887740925882,"e3, 18C",e3,18C,MIT9312,BS11,Co_Culture,0.75373417721519
26,16.043814815303087,-8.076773154014512,"e3, 19A",e3,19A,Natl2A,BS11,Co_Culture,0.673632911392405
