PRO,ALT,sample,PRO,ALT
MED4,1A3,1A,31092165.9,95617010.94
MED4,1A3,1B,30430184.33,112758201.7
MED4,1A3,1C,29960829.49,
MIT9313,1A3,2A,32369124.42,40963548
MIT9313,1A3,2B,33126728.11,39112029.16
MIT9313,1A3,2C,30480875.58,37842284.33
MIT9312,1A3,3A,20529493.09,36834264.88
MIT9312,1A3,3B,18756912.44,33354799.51
MIT9312,1A3,3C,14353225.81,25618712.03
Natl2A,1A3,4A,26923963.13,35848602.67
Natl2A,1A3,4B,35797926.27,49364277.04
Natl2A,1A3,4C,31758986.18,43193681.65
C9B,1A3,5A,34596774.19,74265127.58
C9B,1A3,5B,34279493.09,74948967.19
C9B,1A3,5C,29191244.24,70114216.28
MED4,DE,6A,14562211.98,70210206.56
MED4,DE,6B,13987327.19,79278007.29
MED4,DE,6C,17573732.72,79638639.13
MIT9313,DE,7A,5753456.221,19916160.39
MIT9313,DE,7B,6023963.134,34139732.69
MIT9313,DE,7C,6305529.954,28562332.93
MIT9312,DE,8A,15049308.76,22325880.92
MIT9312,DE,8B,15264055.3,24896476.31
MIT9312,DE,8C,16222119.82,26140218.71
Natl2A,DE,9A,48495391.71,77630376.67
Natl2A,DE,9B,47678801.84,73675091.13
Natl2A,DE,9C,41993548.39,65120534.63
C9B,DE,10A,21202073.73,60472904.01
C9B,DE,10B,24125115.21,66215552.86
C9B,DE,10C,20906451.61,62531956.26
MED4,DE1,11A,12621428.57,72820899.15
MED4,DE1,11B,11810138.25,65786634.26
MED4,DE1,11C,12794930.88,81642284.33
MIT9313,DE1,12A,6800691.244,23009234.51
MIT9313,DE1,12B,5115207.373,19267071.69
MIT9313,DE1,12C,5849078.341,21888699.88
MIT9312,DE1,13A,27788444.44,13164930.11
MIT9312,DE1,13B,34301333.33,3308259.212
MIT9312,DE1,13C,18462666.67,11238627.7
Natl2A,DE1,14A,33868000,56768487.93
Natl2A,DE1,14B,46918666.67,86127064.8
Natl2A,DE1,14C,52780000,94759339.26
C9B,DE1,15A,27220888.89,71830241.42
C9B,DE1,15B,26430222.22,67488182.97
C9B,DE1,15C,19906666.67,50668869.12
MED4,BS11,16A,23974222.22,116429479
MED4,BS11,16B,24704888.89,117571537.5
MED4,BS11,16C,19643111.11,120890470.1
MIT9313,BS11,17A,8443555.556,23640660.74
MIT9313,BS11,17B,8206222.222,31600000
MIT9313,BS11,17C,5496000,28783735.71
MIT9312,BS11,18A,10268000,20416264.29
MIT9312,BS11,18B,23565333.33,41982210.93
MIT9312,BS11,18C,21704444.44,46035069.89
Natl2A,BS11,19A,77845777.78,123194409.1
Natl2A,BS11,19B,69432000,113186277
Natl2A,BS11,19C,45215555.56,60082337.99
C9B,BS11,20A,18476888.89,108662261.8
C9B,BS11,20B,16533777.78,96182973.32
C9B,BS11,20C,19152000,99566963.15
MED4,ATCC,21A,23440000,78737484.12
MED4,ATCC,21B,26588888.89,118781702.7
MED4,ATCC,21C,22406666.67,68520965.69
MIT9313,ATCC,22A,9344444.444,59245743.33
MIT9313,ATCC,22B,7127111.111,43782465.06
MIT9313,ATCC,22C,7662222.222,54003557.81
MIT9312,ATCC,23A,16249333.33,23231003.81
MIT9312,ATCC,23B,17624000,26232274.46
MIT9312,ATCC,23C,20936444.44,28043710.29
Natl2A,ATCC,24A,35644888.89,55372299.87
Natl2A,ATCC,24B,32907555.56,54999237.61
Natl2A,ATCC,24C,35346222.22,49393138.5
C9B,ATCC,25A,,
C9B,ATCC,25B,,
C9B,ATCC,25C,21943488.37,
C9B,,26A,24883.72093,
C9B,,26B,35116.27907,
C9B,,26C,34883.72093,
Natl2A,,27A,25348.83721,
Natl2A,,27B,5348.837209,
Natl2A,,27C,28139.53488,
MIT9312,,28A,30000,
MIT9312,,28B,30930.23256,
MIT9312,,28C,35581.39535,
MIT9313,,29A,33953.48837,
MIT9313,,29B,30465.11628,
MIT9313,,29C,38604.65116,
MED4,,30A,18372.09302,
MED4,,30B,13488.37209,
MED4,,30C,17441.86047,
,1A3,31A,,18583411
,1A3,31B,,33906803.36
,1A3,31C,,23802423.11
,DE,32A,,62863000.93
,DE,32B,,57647716.68
,DE,32C,,238583.411
,DE1,33A,,22024231.13
,DE1,33B,,17183597.39
,DE1,33C,,18626281.45
,BS11,34A,,83970177.07
,BS11,34B,,51107176.14
,BS11,34C,,68585274.93
,ATCC,35A,,18859273.07
,ATCC,35B,,15722274
,ATCC,35C,,23666356.01
