PRO,ALT,sample,PRO,ALT
MED4,1A3,1A,2172661.47,2461220.269
MED4,1A3,1B,18459020.04,2419855.222
MED4,1A3,1C,13855623.61,2945191.313
MIT9313,1A3,2A,1257628.062,2717683.557
MIT9313,1A3,2B,3430790.646,2444674.25
MIT9313,1A3,2C,2956737.194,2432264.736
MIT9312,1A3,3A,1704621.381,1795243.02
MIT9312,1A3,3B,1002.227171,1422957.601
MIT9312,1A3,3C,194432.0713,1580144.778
Natl2A,1A3,4A,614031.1804,2047569.804
Natl2A,1A3,4B,149832.9621,1720785.936
Natl2A,1A3,4C,2405846.325,1476732.161
C9B,1A3,5A,257739.4209,1162357.808
C9B,1A3,5B,2153452.116,1919338.159
C9B,1A3,5C,1550445.434,1137538.78
MED4,DE,6A,558741.6481,3288521.2
MED4,DE,6B,301670.3786,2585315.408
MED4,DE,6C,455512.2494,3640124.095
MIT9313,DE,7A,237694.8775,1555325.75
MIT9313,DE,7B,1124665.924,2328852.12
MIT9313,DE,7C,22048.99777,1927611.169
MIT9312,DE,8A,10523.3853,1331954.498
MIT9312,DE,8B,13363.02895,1898655.636
MIT9312,DE,8C,16536.74833,1906928.645
Natl2A,DE,9A,3266759.465,3251292.658
Natl2A,DE,9B,6681.514477,8273.009307
Natl2A,DE,9C,1305567.929,1894519.131
C9B,DE,10A,6384521.158,1422957.601
C9B,DE,10B,2913307.35,1460186.143
C9B,DE,10C,5136915.367,1398138.573
MED4,DE1,11A,322383.0735,2084798.345
MED4,DE1,11B,965311.804,918304.0331
MED4,DE1,11C,1016425.39,1071354.705
MIT9313,DE1,12A,3967316.258,1435367.115
MIT9313,DE1,12B,3050111.359,665977.2492
MIT9313,DE1,12C,2752616.927,711478.8004
MIT9312,DE1,13A,48431.37255,26274052.48
MIT9312,DE1,13B,201764.7059,13373177.84
MIT9312,DE1,13C,4203137.255,13683673.47
Natl2A,DE1,14A,2323529.412,11759475.22
Natl2A,DE1,14B,1817254.902,10119533.53
Natl2A,DE1,14C,930392.1569,7701166.181
C9B,DE1,15A,11649607.84,45966472.3
C9B,DE1,15B,6707843.137,41610787.17
C9B,DE1,15C,8379803.922,47448979.59
MED4,BS11,16A,8535098.039,9809037.901
MED4,BS11,16B,18083137.25,23864431.49
MED4,BS11,16C,6078.431373,362973.7609
MIT9313,BS11,17A,2884509.804,10263848.4
MIT9313,BS11,17B,221960.7843,14868804.66
MIT9313,BS11,17C,4629607.843,4521865.889
MIT9312,BS11,18A,12668039.22,15253644.31
MIT9312,BS11,18B,2745.098039,16758017.49
MIT9312,BS11,18C,8781568.627,29593294.46
Natl2A,BS11,19A,11574313.73,24542274.05
Natl2A,BS11,19B,4242352.941,14860058.31
Natl2A,BS11,19C,3066666.667,13841107.87
C9B,BS11,20A,1373921.569,108411078.7
C9B,BS11,20B,476470.5882,70399416.91
C9B,BS11,20C,4197647.059,32155976.68
MED4,ATCC,21A,3725.490196,258017.4927
MED4,ATCC,21B,3921.568627,205539.3586
MED4,ATCC,21C,9868823.529,12424198.25
MIT9313,ATCC,22A,720784.3137,10749271.14
MIT9313,ATCC,22B,2236470.588,6524781.341
MIT9313,ATCC,22C,172156.8627,9935860.058
MIT9312,ATCC,23A,379411.7647,9310495.627
MIT9312,ATCC,23B,1960.784314,8868804.665
MIT9312,ATCC,23C,9019.607843,14190962.1
Natl2A,ATCC,24A,814705.8824,11908163.27
Natl2A,ATCC,24B,172156.8627,15349854.23
Natl2A,ATCC,24C,3078039.216,18236151.6
C9B,ATCC,25A,70953.43681,
C9B,ATCC,25B,45898.00443,
C9B,ATCC,25C,2672283.814,13057471.26
