PRO,ALT,sample,PRO,ALT
MED4,1A3,1A,200,1584609.375
MED4,1A3,1B,620,1374765.625
MED4,1A3,1C,9900,1624661.458
MIT9313,1A3,2A,33000,614947.9167
MIT9313,1A3,2B,780,364.5833333
MIT9313,1A3,2C,115760,238411.4583
MIT9312,1A3,3A,30000,304140.625
MIT9312,1A3,3B,2100,279453.125
MIT9312,1A3,3C,3820,403671.875
Natl2A,1A3,4A,133560,595598.9583
Natl2A,1A3,4B,718840,703125
Natl2A,1A3,4C,322700,1646276.042
C9B,1A3,5A,3318920,914739.5833
C9B,1A3,5B,3767780,1120989.583
C9B,1A3,5C,6542080,643880.2083
MED4,DE,6A,202300,555651.0417
MED4,DE,6B,8160,501458.3333
MED4,DE,6C,68220,423203.125
MIT9313,DE,7A,96740,317864.5833
MIT9313,DE,7B,11380,379348.9583
MIT9313,DE,7C,1020080,1233593.75
MIT9312,DE,8A,1280,180442.7083
MIT9312,DE,8B,14620,192317.7083
MIT9312,DE,8C,6700,219140.625
Natl2A,DE,9A,12160,550442.7083
Natl2A,DE,9B,554660,508906.25
Natl2A,DE,9C,1496860,449140.625
C9B,DE,10A,3718500,205598.9583
C9B,DE,10B,3797360,222682.2917
C9B,DE,10C,3260860,412395.8333
MED4,DE1,11A,10800,130442.7083
MED4,DE1,11B,3800,111406.25
MED4,DE1,11C,560,98750
MIT9313,DE1,12A,88160,111458.3333
MIT9313,DE1,12B,61740,13697.91667
MIT9313,DE1,12C,77540,25885.41667
MIT9312,DE1,13A,128255.2839,403671.875
MIT9312,DE1,13B,26953.99917,275234.375
MIT9312,DE1,13C,8089.515126,333489.5833
Natl2A,DE1,14A,3038988.811,1732265.625
Natl2A,DE1,14B,2204608.371,1835208.333
Natl2A,DE1,14C,3424682.967,2151744.792
C9B,DE1,15A,4804873.601,1554453.125
C9B,DE1,15B,4210343.97,1502500
C9B,DE1,15C,2990700.373,1228906.25
MED4,BS11,16A,12416.07957,1081640.625
MED4,BS11,16B,38010.77497,1636328.125
MED4,BS11,16C,547.0368835,1181744.792
MIT9313,BS11,17A,9448.818898,960338.5417
MIT9313,BS11,17B,13526.73021,2236354.167
MIT9313,BS11,17C,13443.84584,714192.7083
MIT9312,BS11,18A,6348.943224,279869.7917
MIT9312,BS11,18B,5155.408206,233359.375
MIT9312,BS11,18C,1392.457522,301718.75
Natl2A,BS11,19A,2659262.329,1819270.833
Natl2A,BS11,19B,1127890.593,1720442.708
Natl2A,BS11,19C,443315.3751,1224843.75
C9B,BS11,20A,1541.649399,2834713.542
C9B,BS11,20B,3912.142561,1801484.375
C9B,BS11,20C,22511.3966,2387786.458
MED4,ATCC,21A,5138.83133,1412890.625
MED4,ATCC,21B,80464.15251,1133020.833
MED4,ATCC,21C,518773.3112,1011380.208
MIT9313,ATCC,22A,78392.0431,2276171.875
MIT9313,ATCC,22B,69440.53046,2209895.833
MIT9313,ATCC,22C,53244.92333,1891354.167
MIT9312,ATCC,23A,3182.76005,481927.0833
MIT9312,ATCC,23B,232.0762536,474973.9583
MIT9312,ATCC,23C,679.6518856,712343.75
Natl2A,ATCC,24A,384417.7373,1206875
Natl2A,ATCC,24B,340704.5172,694661.4583
Natl2A,ATCC,24C,1164011.604,1299739.583
C9B,ATCC,25A,,
C9B,ATCC,25B,,
C9B,ATCC,25C,1452120,
C9B,,26A,560,
C9B,,26B,200,
C9B,,26C,39260,
Natl2A,,27A,460,
Natl2A,,27B,560,
Natl2A,,27C,580,
MIT9312,,28A,100,
MIT9312,,28B,180,
MIT9312,,28C,220,
MIT9313,,29A,220,
MIT9313,,29B,140,
MIT9313,,29C,140,
MED4,,30A,580,
MED4,,30B,240,
MED4,,30C,1580,
,1A3,31A,340,
,1A3,31B,280,
,1A3,31C,120,
,DE,32A,220,
,DE,32B,560,
,DE,32C,300,
,DE1,33A,260,
,DE1,33B,160,
,DE1,33C,100,
,BS11,34A,260,
,BS11,34B,320,
,BS11,34C,140,
,ATCC,35A,380,
,ATCC,35B,160,
,ATCC,35C,160,
