PRO,ALT,sample,PRO,ALT
MED4,1A3,1A,7485642.317,29923510.15
MED4,1A3,1B,6720906.801,21597642.44
MED4,1A3,1C,11213350.13,17420563.2
MIT9313,1A3,2A,1415617.128,5134250.164
MIT9313,1A3,2B,1018639.798,4885134.25
MIT9313,1A3,2C,973047.8589,4232612.967
MIT9312,1A3,3A,6901511.335,11649246.89
MIT9312,1A3,3B,8916120.907,13586116.57
MIT9312,1A3,3C,14139042.82,15524034.05
Natl2A,1A3,4A,12236523.93,26727963.33
Natl2A,1A3,4B,7702267.003,17933464.31
Natl2A,1A3,4C,12961964.74,21583759
C9B,1A3,5A,5534005.038,18968696.79
C9B,1A3,5B,7601763.224,22012835.63
C9B,1A3,5C,6272544.081,17372626.06
MED4,DE,6A,13487153.65,27327832.35
MED4,DE,6B,11266750.63,28998297.31
MED4,DE,6C,14287909.32,23657891.29
MIT9313,DE,7A,2735768.262,11198690.24
MIT9313,DE,7B,3413853.904,11072953.5
MIT9313,DE,7C,4421914.358,16112377.21
MIT9312,DE,8A,18120654.91,13683300.59
MIT9312,DE,8B,19090176.32,14094302.55
MIT9312,DE,8C,12968513.85,11770792.4
Natl2A,DE,9A,28878841.31,27998428.29
Natl2A,DE,9B,21000503.78,20075180.09
Natl2A,DE,9C,20065239.29,20599345.12
C9B,DE,10A,10675314.86,25244269.81
C9B,DE,10B,11764735.52,24944073.35
C9B,DE,10C,11286649.87,27875049.12
MED4,DE1,11A,15035012.59,22350753.11
MED4,DE1,11B,13771284.63,21955730.19
MED4,DE1,11C,17726196.47,20829862.48
MIT9313,DE1,12A,1506297.229,7699541.585
MIT9313,DE1,12B,2031738.035,9005108.055
MIT9313,DE1,12C,2595717.884,8343680.419
MIT9312,DE1,13A,10258517.56,13384455.45
MIT9312,DE1,13B,8632119.636,15065346.53
MIT9312,DE1,13C,7615084.525,14534257.43
Natl2A,DE1,14A,7701300.39,18941881.19
Natl2A,DE1,14B,4060923.277,18106930.69
Natl2A,DE1,14C,7636736.021,19213366.34
C9B,DE1,15A,5479583.875,16288514.85
C9B,DE1,15B,5255461.638,16895346.53
C9B,DE1,15C,5631729.519,16482475.25
MED4,BS11,16A,20159882.96,42907128.71
MED4,BS11,16B,21390507.15,44255346.53
MED4,BS11,16C,29921586.48,28283762.38
MIT9313,BS11,17A,190182.0546,10475940.59
MIT9313,BS11,17B,718010.4031,12597623.76
MIT9313,BS11,17C,1506046.814,10636039.6
MIT9312,BS11,18A,6188621.586,12172574.26
MIT9312,BS11,18B,11489921.98,15498118.81
MIT9312,BS11,18C,10866710.01,15697425.74
Natl2A,BS11,19A,10681753.55,18575438.6
Natl2A,BS11,19B,11673696.68,18966590.39
Natl2A,BS11,19C,13476777.25,19367505.72
C9B,BS11,20A,5950000,35224713.96
C9B,BS11,20B,8187203.791,30418306.64
C9B,BS11,20C,8451658.768,27470327.99
MED4,ATCC,21A,18747630.33,36661784.9
MED4,ATCC,21B,17384360.19,35048360.03
MED4,ATCC,21C,15028909.95,27109382.15
MIT9313,ATCC,22A,589099.5261,11476430.21
MIT9313,ATCC,22B,400947.8673,12076887.87
MIT9313,ATCC,22C,1007109.005,11258276.13
MIT9312,ATCC,23A,11748104.27,13852326.47
MIT9312,ATCC,23B,13035781.99,14625476.74
MIT9312,ATCC,23C,8594549.763,11789473.68
Natl2A,ATCC,24A,12856872.04,16436308.16
Natl2A,ATCC,24B,12279146.92,15900839.05
Natl2A,ATCC,24C,14589336.49,17388558.35
C9B,ATCC,25A,,
C9B,ATCC,25B,,
C9B,ATCC,25C,7109.004739,23185354.69
C9B,,26A,2369.668246,
C9B,,26B,1895.734597,
C9B,,26C,5044312.796,
Natl2A,,27A,1864454.976,
Natl2A,,27B,2606.635071,
Natl2A,,27C,1895.734597,
MIT9312,,28A,2132.701422,
MIT9312,,28B,2369.668246,
MIT9312,,28C,1658.767773,
MIT9313,,29A,2606.635071,
MIT9313,,29B,1421.800948,
MIT9313,,29C,2369.668246,
MED4,,30A,710.9004739,
MED4,,30B,1184.834123,
MED4,,30C,1184.834123,
,1A3,31A,,744616.8768
,1A3,31B,,847623.6663
,1A3,31C,,1054801.164
,DE,32A,,2065664.403
,DE,32B,,1298351.115
,DE,32C,,581.9592629
,DE1,33A,,5237342.386
,DE1,33B,,5348205.626
,DE1,33C,,4808729.389
,BS11,34A,,12130649.85
,BS11,34B,,13699321.05
,BS11,34C,,
,ATCC,35A,,4719107.662
,ATCC,35B,,3062269.641
,ATCC,35C,,
