day,PRO,ALT,PRO_CO,ALT_CO
0,3.80E+05,4.92E+06,9.41E+05,3.68E+06
1.67,3.01E+05,3.12E+07,2.28E+06,7.13E+06
1.67,2.11E+05,2.84E+07,2.04E+06,1.77E+07
1.67,2.66E+06,1.77E+07,1.85E+06,1.79E+07
3.68,3.11E+06,4.35E+07,4.49E+06,2.26E+07
3.68,3.55E+06,2.24E+07,4.28E+06,3.87E+07
3.68,3.65E+06,1.82E+07,3.66E+06,2.24E+07
8.73,3.14E+07,1.80E+07,5.61E+07,1.30E+07
8.73,3.64E+07,3.14E+07,7.15E+07,1.34E+07
8.73,4.33E+07,1.30E+07,7.34E+07,2.47E+07
10.7,1.15E+08,6.10E+06,8.87E+07,1.96E+07
10.7,9.01E+07,1.76E+07,1.16E+08,1.96E+07
10.7,7.88E+07,8.80E+06,9.65E+07,1.89E+07
11.6,1.08E+08,9.25E+06,7.94E+07,2.39E+07
11.6,1.00E+08,1.00E+07,7.59E+07,1.00E+07
11.6,1.08E+08,8.45E+06,7.42E+07,1.81E+07
12.58,1.43E+08,2.29E+07,7.67E+07,6.16E+06
12.58,1.33E+08,2.61E+07,6.46E+07,5.00E+06
12.58,1.29E+08,1.56E+07,7.85E+07,5.30E+06
13.64,1.22E+08,2.47E+07,7.93E+07,3.11E+06
13.64,1.29E+08,1.11E+07,6.13E+07,1.88E+06
13.64,1.23E+08,1.37E+07,5.68E+07,1.09E+06
15.67,1.17E+08,1.11E+07,7.47E+07,2.14E+05
15.67,1.16E+08,1.09E+07,4.83E+07,9.11E+05
15.67,1.21E+08,1.11E+07,4.13E+07,5.18E+05
20.58,6.41E+07,2.88E+06,3.68E+07,1.19E+05
20.58,6.41E+07,2.22E+06,2.96E+07,6.91E+04
20.58,7.07E+07,2.51E+06,3.47E+07,1.27E+05
24.67,1.28E+07,2.74E+06,2.92E+07,5.83E+04
24.67,7.92E+06,2.96E+06,2.05E+07,5.40E+04
24.67,4.54E+06,1.05E+06,1.76E+07,3.89E+04
29.63,2.65E+06,1.99E+06,1.68E+07,7.13E+04
29.63,3.21E+06,2.48E+06,1.98E+07,5.18E+04
29.63,1.39E+06,1.97E+06,1.69E+07,8.42E+04
